"pkg_name","pkg_version","license_group","roxygen_yn","n_depends","rversion_min","rversion_min_modified","nauthors"
"dtangle",0,"GPL",1,3,210,210,1
"httptest",1,"MIT",1,4,300,300,1
"idefix",0,"GPL",1,6,301,301,1
"MALDIrppa",1,"GPL",0,8,302,302,1
"quickPlot",0,"GPL",1,17,303,303,4
"survHE",1,"GPL",1,14,300,300,1
"unrtf",1,"GPL",1,1,NA,304.1,3
"walker",0,"GPL",1,11,300,300,1
"MADPop",1,"GPL",1,13,304,304,3
"memapp",1,"GPL",1,22,304,304,1
"breathteststan",0,"GPL",1,17,304,304,6
"elasticsearchr",0,"Apache",1,5,NA,303.3,1
"exampletestr",0,"GPL",1,9,NA,304,4
"gggenes",0,"GPL",1,5,303,303,1
"huxtable",0,"MIT",1,7,NA,304,1
"worrms",0,"MIT",1,8,NA,303.3,1
"mdmb",0,"GPL",0,9,301,301,2
"webmockr",0,"MIT",1,9,NA,304.1,2
"WVPlots",0,"GPL",1,11,NA,303.3,3
"augSIMEX",1,"GPL",0,6,NA,304.2,2
"autothresholdr",0,"GPL",1,8,NA,303.3,4
"eulerr",0,"GPL",1,10,303,303,5
"jmvcore",0,"GPL",1,5,302,302,1
"semtree",0,"GPL",0,8,NA,303.3,2
"sessioninfo",1,"GPL",1,7,NA,304.1,7
"shinyWidgets",0,"GPL",1,5,302,302,23
"spant",0,"GPL",1,29,210,210,2
"KarsTS",1,"GPL",1,20,NA,304.1,4
"sigr",0,"GPL",1,4,NA,303.3,3
"egg",0,"GPL",1,8,NA,304.2,1
"numform",0,"GPL",1,1,302,302,1
"owmr",0,"MIT",1,7,301,301,2
"tidyRSS",1,"MIT",1,9,210,210,1
"dexter",0,"GPL",1,9,210,210,4
"redlistr",1,"GPL",1,11,303,303,2
"tesseract",1,"MIT",1,6,NA,303.3,1
"VARtests",1,"GPL",0,5,300,300,3
"hutils",0,"GPL",1,4,NA,304.2,3
"incidence",1,"MIT",1,7,NA,303.3,6
"automultinomial",1,"GPL",1,11,302,302,3
"flextable",0,"GPL",1,17,NA,304,2
"gibble",0,"GPL",1,3,303,303,1
"mvord",0,"GPL",1,4,301,301,4
"RATest",0,"GPL",1,6,300,300,2
"restriktor",0,"GPL",0,6,300,300,2
"shallot",0,"Apache",0,2,NA,304.1,1
"spatstat.utils",1,"GPL",0,6,303,303,3
"AMModels",0,"GPL",1,6,NA,303.3,2
"cpt",0,"GPL",0,3,NA,303.3,1
"filesstrings",0,"GPL",1,14,NA,303.3,2
"GDINA",1,"GPL",1,15,301,301,3
"greta",0,"Apache",1,16,300,300,12
"lemon",0,"GPL",1,10,301,301,5
"vennLasso",0,"GPL",1,14,302,302,6
"rsparkling",0,"Apache",1,5,NA,303.3,7
"strip",0,"MIT",1,9,301,301,1
"atus",0,"GPL",1,0,210,210,1
"ebimetagenomics",0,"LGPL",0,3,300,300,1
"spectrolab",0,"GPL",1,10,304,304,3
"sugrrants",0,"GPL",1,15,301,301,3
"uavRmp",0,"GPL",1,22,301,301,5
"vistime",0,"GPL",1,2,301,301,1
"ggspatial",0,"GPL",1,13,210,210,2
"BayesS5",1,"GPL",0,4,302,302,1
"commonsMath",1,"Apache",0,2,NA,304.1,2
"drake",1,"GPL",1,19,302,302,7
"latexpdf",0,"GPL",1,0,NA,304.2,1
"link2GI",0,"GPL",1,10,210,210,2
"electoral",0,"GPL",1,3,NA,304.3,1
"JuliaCall",0,"MIT",1,3,302,302,4
"microdemic",0,"MIT",1,6,NA,304.2,1
"MODIS",1,"GPL",1,16,210,210,10
"PhenotypeSimulator",0,"MIT",1,11,303,303,2
"reactR",0,"BSD",1,6,NA,303.3,2
"rlang",0,"GPL",1,4,301,301,3
"rlas",1,"GPL",1,3,300,300,5
"sitree",0,"GPL",0,4,301,301,2
"solvebio",0,"MIT",1,2,NA,303.2,1
"texPreview",1,"GPL",1,8,203,203,2
"CrossVA",0,"GPL",1,1,302,302,5
"d3r",0,"BSD",1,12,NA,303.2,5
"dodgr",0,"GPL",1,17,302,302,6
"mmpf",0,"MIT",1,5,NA,303.3,1
"mvLSW",1,"GPL",0,2,302,302,4
"NetworkInference",1,"MIT",1,13,NA,304,2
"rsMove",0,"GPL",1,5,NA,304.2,1
"rWind",0,"GPL",0,2,210,210,2
"sf",0,"GPL",1,15,300,300,10
"taskscheduleR",1,"AGPL",1,6,NA,303.3,3
"trackdem",0,"GPL",1,11,NA,304.1,4
"blogdown",0,"GPL",1,17,NA,304.2,11
"DEploid",0,"GPL",1,5,301,301,8
"isdparser",0,"MIT",1,7,NA,303.3,1
"websearchr",0,"MIT",1,3,304,304,2
"xaringan",0,"MIT",1,6,NA,303.3,16
"bikedata",0,"GPL",1,15,300,300,6
"dLagM",0,"GPL",1,5,NA,304.2,1
"dynamichazard",0,"GPL",1,19,NA,303.3,5
"FishResp",0,"GPL",1,2,300,300,9
"meteoland",0,"GPL",0,9,210,210,4
"osmdata",0,"GPL",1,18,302,302,8
"bridgesampling",0,"GPL",1,14,300,300,10
"cdata",0,"GPL",1,8,NA,304,3
"RApiDatetime",0,"GPL",1,0,NA,304,1
"lexicon",0,"MIT",1,0,302,302,35
"ciTools",0,"GPL",1,8,NA,304.2,3
"poliscidata",1,"CC0",1,17,210,210,1
"webTRISr",0,"GPL",1,11,NA,304.2,1
"wikitaxa",0,"MIT",1,11,302,302,2
"xtensor",0,"BSD",0,2,NA,304.2,2
"antaresRead",1,"GPL",1,9,NA,304,5
"bsplinePsd",0,"GPL",1,3,NA,304.2,3
"charlatan",0,"MIT",1,7,NA,304.1,5
"evaluator",0,"MIT",1,24,303,303,1
"hNMF",0,"GPL",1,11,303,303,1
"PowerUpR",0,"GPL",0,1,NA,303.3,4
"PWEALL",1,"GPL",1,2,301,301,5
"sdpt3r",0,"GPL",1,3,210,210,6
"BimodalIndex",1,"Apache",0,3,300,300,1
"breathtestcore",0,"GPL",1,17,304,304,7
"clickR",0,"GPL",1,9,NA,303.3,2
"dataPreparation",0,"GPL",1,8,303,303,1
"fergm",0,"GPL",1,14,303,303,4
"GenAlgo",1,"Apache",0,7,300,300,1
"pinyin",1,"GPL",1,0,301,301,2
"pivottabler",0,"GPL",1,12,302,302,1
"bcROCsurface",1,"GPL",1,12,215,215,2
"bookdownplus",1,"GPL",1,3,301,301,1
"grattan",1,"GPL",1,23,210,210,8
"queuecomputer",0,"GPL",1,10,303,303,4
"cosinor2",0,"GPL",1,4,210,210,1
"crminer",0,"MIT",1,8,NA,304.1,1
"define",0,"GPL",1,5,NA,304.3,2
"dendroTools",0,"GPL",1,14,304,304,2
"dslabs",0,"Artistic-2.0",1,0,303,303,1
"readJDX",0,"GPL",1,2,300,300,1
"stormwindmodel",0,"GPL",1,16,210,210,9
"analytics",1,"GPL",1,4,301,301,1
"touch",0,"GPL",1,1,302,302,3
"GSED",1,"GPL",0,3,301,301,1
"hoardr",0,"MIT",1,6,NA,304.1,1
"psychmeta",0,"GPL",1,9,NA,304.2,7
"Rnightlights",0,"GPL",1,31,NA,304.2,1
"treemapify",1,"GPL",1,8,304,304,1
"bamlss",0,"GPL",0,27,302,302,6
"mMPA",0,"MIT",1,2,NA,304,3
"mrfDepth",1,"GPL",0,8,303,303,5
"antaresViz",0,"GPL",1,22,NA,304,6
"BatchGetSymbols",1,"GPL",1,9,303,303,1
"FLightR",0,"GPL",1,21,300,300,4
"GetLattesData",0,"GPL",1,10,303,303,1
"GROAN",1,"GPL",1,8,210,210,1
"itunesr",0,"CC0",1,6,NA,304.2,1
"partialCI",1,"GPL",1,16,NA,304.1,3
"Rodam",0,"LGPL",1,4,301,301,1
"stacomiR",0,"GPL",1,26,300,300,3
"tidyselect",0,"GPL",1,5,301,301,3
"airGR",1,"GPL",0,1,300,300,14
"emdi",1,"GPL",1,17,303,303,6
"NetworkChange",0,"GPL",1,11,210,210,2
"wooldridge",1,"GPL",1,7,304,304,2
"EFAutilities",0,"GPL",1,2,210,210,4
"mindr",1,"GPL",1,0,300,300,1
"nucim",0,"GPL",1,4,300,300,1
"billboarder",0,"MIT",1,10,303,303,3
"c212",0,"GPL",0,1,NA,303.3,1
"easyreg",1,"GPL",0,2,300,300,1
"psda",1,"GPL",1,7,301,301,3
"sptemExp",0,"GPL",1,22,214,214,2
"pollen",0,"MIT",1,4,NA,303.2,1
"ratelimitr",0,"MIT",1,5,NA,303.3,1
"rmapzen",0,"MIT",1,16,210,210,2
"wallace",0,"GPL",1,17,302,302,7
"bazar",0,"GPL",1,5,301,301,1
"googledrive",0,"MIT",1,16,301,301,3
"pdSpecEst",1,"GPL",1,7,303,303,1
"spmoran",0,"GPL",0,4,NA,304,1
"CMatching",1,"GPL",0,6,206,206,3
"comtradr",0,"GPL",1,5,300,300,3
"PWFSLSmoke",0,"GPL",1,25,301,301,9
"uiucthemes",0,"MIT",1,1,300,300,4
"auk",0,"GPL",1,11,303,303,4
"Delta",0,"GPL",1,1,302,302,3
"partitionComparison",0,"MIT",1,4,302,302,2
"rjmcmc",0,"GPL",1,5,302,302,3
"soundgen",1,"GPL",1,16,304,304,1
"spatstat.data",1,"GPL",0,1,303,303,3
"TileManager",0,"GPL",1,9,303,303,1
"ClassDiscovery",1,"Apache",0,10,300,300,1
"dataMaid",0,"GPL",1,7,NA,303.3,2
"mdsOpt",0,"GPL",0,3,NA,303.3,2
"odr",0,"GPL",1,7,303,303,2
"PeakSegJoint",0,"GPL",0,6,214,214,1
"RcmdrPlugin.RiskDemo",1,"GPL",0,4,210,210,1
"vein",0,"MIT",1,9,210,210,2
"tensorBF",1,"MIT",1,2,NA,303.3,2
"WeightedROC",0,"GPL",0,7,NA,304.1,1
"carData",1,"GPL",0,0,300,300,3
"loon",1,"GPL",1,25,304,304,3
"metaplot",0,"GPL",1,9,210,210,1
"nanotime",0,"GPL",1,3,NA,303.3,1
"nonmemica",0,"GPL",1,14,NA,304.1,1
"clustermq",0,"Apache",1,11,300,300,1
"fDMA",1,"GPL",0,14,NA,304.2,1
"LearnGeom",1,"GPL",1,4,300,300,2
"shadow",0,"MIT",1,10,302,302,4
"antaresProcessing",0,"GPL",1,8,NA,304,5
"BETS",0,"GPL",1,33,302,302,5
"ecm",0,"GPL",1,2,NA,303.2,1
"scalpel",1,"GPL",1,7,NA,304,1
"textreadr",0,"GPL",1,8,302,302,3
"ggridges",0,"GPL",1,13,302,302,2
"boxcoxmix",0,"GPL",1,4,303,303,1
"seplyr",0,"GPL",1,6,NA,304.2,2
"frequencyConnectedness",0,"GPL",1,9,NA,304.1,1
"grf",0,"GPL",1,4,303,303,6
"parallelDist",0,"GPL",0,10,NA,304.1,1
"revengc",1,"MIT",1,2,214,214,3
"smapr",0,"GPL",1,11,302,302,3
"geex",1,"MIT",1,21,303,303,2
"geojsonR",1,"MIT",1,8,302,302,1
"jtools",0,"MIT",1,10,NA,303.3,1
"sparsepp",0,"BSD",1,0,NA,303.3,3
"uGMAR",1,"GPL",1,8,303,303,1
"HEMDAG",1,"GPL",1,7,304,304,3
"RInno",0,"GPL",1,12,NA,303.3,17
"datasauRus",0,"MIT",1,5,300,300,7
"gravity",0,"GPL",1,4,303,303,4
"phuse",0,"MIT",1,5,300,300,1
"rcoreoa",0,"MIT",1,8,NA,304.1,3
"ROptSpace",0,"GPL",1,1,NA,304.2,1
"BayLum",0,"GPL",1,11,304,304,4
"CIAAWconsensus",1,"Unlimited",0,5,NA,303.3,1
"dataCompareR",0,"Apache",1,10,302,302,21
"replyr",0,"GPL",1,11,NA,303.3,3
"hetGP",1,"LGPL",1,5,NA,304.3,2
"later",0,"GPL",1,6,NA,304.1,4
"ReIns",1,"GPL",0,14,301,301,6
"gdns",0,"AGPL",1,5,300,300,1
"mbir",1,"GPL",1,5,NA,304.2,2
"aiRthermo",1,"GPL",0,0,NA,304.2,3
"graphon",0,"GPL",1,2,NA,304.2,1
"hIRT",0,"GPL",1,4,303,303,1
"reprex",0,"MIT",1,16,300,300,5
"usmap",0,"GPL",1,7,303,303,1
"BLPestimatoR",0,"GPL",1,6,NA,304,3
"spData",0,"CC0",1,1,303,303,5
"LabourMarketAreas",1,"GPL",0,7,301,301,4
"mize",0,"BSD",1,3,NA,304.2,1
"moveVis",0,"GPL",1,16,210,210,1
"sgmcmc",0,"GPL",1,6,300,300,5
"document",1,"BSD",1,11,303,303,1
"EnvCpt",0,"GPL",0,9,303,303,4
"HDtest",0,"Apache",1,7,302,302,3
"knor",0,"Apache",1,3,300,300,2
"nse",1,"GPL",1,9,NA,303.3,2
"SimPhe",0,"GPL",1,3,NA,303.3,1
"bigstep",0,"GPL",1,7,303,303,1
"bomrang",0,"MIT",1,28,302,302,8
"geosapi",0,"MIT",0,6,301,301,1
"getCRUCLdata",0,"MIT",1,10,NA,303.3,1
"ggmosaic",0,"GPL",1,10,302,302,4
"grec",1,"GPL",1,2,302,302,1
"merDeriv",0,"GPL",0,7,302,302,2
"odpc",1,"GPL",0,6,303,303,3
"sjlabelled",1,"GPL",1,12,302,302,1
"fastnet",0,"GPL",1,4,303,303,4
"IncDTW",0,"GPL",1,3,NA,304.2,1
"mixKernel",0,"GPL",0,7,210,210,2
"PhylogeneticEM",1,"GPL",1,26,302,302,2
"prettycode",1,"MIT",1,6,NA,303.3,1
"scorecard",0,"MIT",1,3,NA,304.2,1
"zoocat",0,"GPL",1,11,301,301,1
"BIGL",1,"GPL",1,14,210,210,5
"datasets.load",0,"GPL",1,3,300,300,1
"ghibli",0,"MIT",1,3,304,304,1
"naniar",0,"MIT",1,24,301,301,7
"penaltyLearning",0,"GPL",0,10,210,210,1
"rly",1,"MIT",1,3,NA,303.3,4
"udpipe",0,"MPL",1,4,210,210,8
"redR",1,"GPL",1,1,304,304,1
"reportROC",1,"GPL",0,1,303,303,2
"fitur",0,"MIT",1,3,303,303,1
"ggdmc",0,"GPL",1,11,300,300,2
"healthcareai",0,"MIT",1,13,NA,303.3,5
"fastR2",0,"GPL",1,27,300,300,1
"gamesGA",1,"MIT",1,5,304,304,1
"iMediate",0,"GPL",0,1,NA,304,1
"sinew",0,"GPL",1,3,203,203,3
"taxonomizr",0,"GPL",1,7,300,300,1
"bayesImageS",0,"GPL",1,6,214,214,3
"intccr",0,"GPL",1,6,214,214,2
"lero.lero",0,"GPL",0,1,NA,304,1
"OOBCurve",0,"GPL",1,4,300,300,1
"PeerPerformance",1,"GPL",1,5,NA,303.3,2
"RiskPortfolios",1,"GPL",1,4,NA,303.3,3
"covatest",0,"GPL",1,8,303,303,4
"fdANOVA",0,"LGPL",1,8,210,210,2
"cytometree",1,"LGPL",1,8,301,301,3
"SSLASSO",0,"GPL",1,0,NA,304.2,2
"eDMA",1,"GPL",0,7,NA,303.3,2
"MCMCvis",0,"GPL",1,7,302,302,3
"tidycensus",0,"MIT",1,13,303,303,2
"vpc",1,"MIT",1,9,301,301,1
"bgsmtr",0,"GPL",1,7,303,303,6
"mclustcomp",0,"GPL",1,3,NA,304.2,1
"supc",0,"GPL",1,8,300,300,2
"startup",0,"LGPL",1,0,212,212,1
"symDMatrix",1,"MIT",1,5,NA,304.1,2
"TeXCheckR",0,"GPL",1,12,210,210,1
"tfruns",0,"Apache",1,7,NA,304.2,13
"adiv",1,"GPL",0,6,304,304,1
"BGData",1,"MIT",1,12,300,300,4
"gsynth",1,"GPL",0,8,NA,304,2
"keras",1,"MIT",1,10,NA,304.2,9
"perccalc",1,"MIT",1,16,304,304,1
"quickmatch",0,"GPL",1,5,302,302,3
"rtrim",1,"EUPL",1,8,NA,303.3,3
"scclust",0,"GPL",1,2,302,302,3
"stepPenal",0,"GPL",1,7,302,302,1
"CINNA",1,"GPL",1,18,NA,304.2,3
"manet",1,"GPL",1,3,303,303,3
"micemd",1,"GPL",1,15,302,302,2
"sarima",0,"GPL",0,7,NA,303.3,2
"BayesNetBP",1,"GPL",1,15,303,303,1
"BioInstaller",0,"MIT",1,9,303,303,1
"collapsibleTree",0,"GPL",1,9,300,300,3
"Eagle",1,"GPL",0,12,304,304,10
"geometa",0,"MIT",0,4,301,301,1
"GMSE",0,"GPL",1,6,303,303,9
"lidR",1,"GPL",1,20,301,301,4
"lmridge",1,"GPL",0,0,NA,303.3,2
"rstantools",1,"GPL",1,10,NA,303.3,4
"rvinecopulib",0,"GPL",1,14,NA,304.2,2
"SSBtools",0,"Apache",1,0,215,215,1
"TLMoments",0,"GPL",1,10,NA,303.3,1
"quickblock",0,"GPL",1,3,302,302,3
"rsolr",0,"Apache",0,11,302,302,3
"lagged",0,"GPL",0,1,NA,304.1,1
"RLT",1,"GPL",1,5,300,300,1
"shinyFeedback",0,"GPL",1,4,301,301,1
"censusapi",0,"MIT",1,4,300,300,1
"dwapi",0,"Apache",1,7,303,303,4
"hrbrthemes",0,"MIT",1,12,302,302,9
"IPEC",0,"GPL",0,2,NA,304.1,4
"mockery",0,"MIT",1,4,NA,303.2,2
"sweep",0,"GPL",1,19,303,303,2
"timetk",0,"GPL",1,23,303,303,2
"narray",0,"Apache",1,8,300,300,1
"AbSim",0,"GPL",1,5,301,301,1
"bigstatsr",0,"GPL",1,25,303,303,3
"DMMF",0,"GPL",0,4,302,302,3
"GPrank",0,"MIT",1,4,214,214,2
"haploR",1,"GPL",1,4,303,303,3
"optrdd",0,"GPL",1,6,300,300,2
"textutils",0,"GPL",0,0,NA,303.3,1
"batchtools",0,"LGPL",1,21,300,300,3
"castor",1,"GPL",0,5,NA,304.1,1
"datastructures",0,"GPL",1,8,304,304,1
"mapedit",0,"MIT",1,11,301,301,2
"openEBGM",0,"GPL",1,8,302,302,6
"processx",1,"MIT",1,8,NA,304.1,4
"BMisc",1,"GPL",1,2,201,201,1
"cholera",0,"GPL",1,12,210,210,1
"civis",1,"BSD",1,24,302,302,9
"distances",0,"GPL",1,2,302,302,1
"vetr",0,"GPL",1,4,302,302,3
"LMfilteR",0,"GPL",1,2,303,303,2
"powerlmm",0,"GPL",1,19,302,302,1
"ProliferativeIndex",1,"MIT",1,4,300,300,2
"snakecase",0,"GPL",1,9,303,303,1
"EL2Surv",1,"GPL",1,2,213,213,1
"kirby21.base",1,"GPL",1,3,NA,303.3,1
"kirby21.fmri",1,"GPL",1,2,NA,303.3,1
"kirby21.t1",1,"GPL",1,1,NA,303.3,1
"sequoia",0,"GPL",1,5,NA,303.3,1
"subprocess",0,"MIT",1,4,NA,303.3,1
"genBaRcode",1,"LGPL",1,16,304,304,1
"libstableR",1,"GPL",0,2,NA,304.1,5
"MCMCprecision",0,"GPL",1,10,300,300,1
"jcolors",0,"GPL",1,6,300,300,1
"IDmining",1,"CC BY",1,2,NA,303.3,2
"PRISMAstatement",1,"GPL",1,4,NA,303.2,1
"taxa",0,"MIT",1,13,300,300,2
"gridsample",0,"GPL",1,12,302,302,6
"nsROC",1,"GPL",1,7,210,210,1
"roadoi",0,"MIT",1,11,NA,304,3
"tmaptools",1,"GPL",1,19,300,300,1
"coda.base",0,"GPL",1,4,300,300,1
"crochet",1,"MIT",1,2,NA,304.1,1
"DSAIDE",0,"GPL",1,6,NA,303.3,8
"gasfluxes",0,"GPL",1,8,301,301,3
"MatrixLDA",0,"GPL",1,5,NA,303.2,1
"reticulate",0,"Apache",1,6,300,300,7
"rPraat",1,"MIT",1,6,304,304,1
"simmer.plot",0,"MIT",1,11,301,301,2
"ggformula",0,"MIT",1,15,301,301,2
"icesTAF",1,"GPL",1,3,NA,304.1,2
"pre",0,"GPL",1,7,303,303,2
"TOSTER",0,"GPL",1,4,NA,303.3,1
"bayesplot",1,"GPL",1,13,301,301,5
"LncFinder",1,"GPL",1,4,302,302,3
"colourvision",0,"GPL",0,4,NA,303.3,1
"hyper2",1,"GPL",0,5,210,210,1
"flifo",0,"MIT",1,4,301,301,1
"gcKrig",1,"GPL",0,14,302,302,1
"geomerge",0,"LGPL",0,11,210,210,1
"janitor",0,"MIT",1,6,301,301,4
"statip",0,"GPL",1,6,301,301,4
"dotCall64",0,"GPL",0,6,301,301,3
"reghelper",0,"GPL",1,6,301,301,1
"sylly",0,"GPL",1,2,300,300,1
"makedummies",1,"GPL",0,0,NA,303.3,1
"woeBinning",0,"GPL",1,0,NA,303.3,1
"CBCgrps",1,"GPL",0,1,302,302,3
"CSeqpat",0,"MIT",1,3,301,301,1
"aws.ec2metadata",0,"GPL",1,2,NA,303.3,1
"errors",0,"MIT",1,2,300,300,1
"GPoM",1,"CeCILL-2",1,5,210,210,5
"projmanr",0,"GPL",1,5,303,303,2
"regplot",0,"GPL",1,6,NA,304.2,1
"dbplyr",1,"MIT",1,18,301,301,3
"netCoin",0,"CC BY",0,2,300,300,4
"oddsratio",0,"MIT",1,6,NA,303.2,1
"shinyjqui",0,"MIT",1,7,302,302,1
"simglm",0,"MIT",1,13,303,303,1
"textTinyR",1,"GPL",1,12,302,302,1
"anMC",0,"GPL",1,8,NA,304.1,1
"safer",0,"GPL",1,3,303,303,1
"mapsapi",0,"MIT",1,7,NA,304.2,2
"nmaINLA",0,"GPL",1,3,210,210,1
"officer",0,"GPL",1,21,NA,303.3,5
"textclean",0,"GPL",1,6,302,302,2
"WordR",0,"GPL",1,7,NA,304.2,1
"ggiraphExtra",0,"GPL",1,17,210,210,1
"MSbox",0,"GPL",1,0,NA,304.2,1
"survutils",1,"MIT",1,10,301,301,1
"BAMBI",1,"GPL",1,8,302,302,2
"ggpval",0,"GPL",1,4,NA,304.1,1
"wdman",0,"MIT",1,9,302,302,2
"BALCONY",0,"GPL",1,5,NA,304.2,1
"ggstance",0,"GPL",1,7,302,302,4
"lumberjack",0,"GPL",1,5,NA,304.1,1
"Seurat",1,"GPL",1,44,302,302,7
"spind",1,"GPL",1,11,300,300,3
"spm",1,"GPL",1,8,210,210,1
"vagalumeR",0,"GPL",1,8,302,302,1
"blastula",0,"MIT",1,12,304,304,1
"ncar",0,"GPL",1,5,210,210,1
"NonCompart",0,"GPL",0,0,300,300,1
"rwalkr",0,"MIT",1,2,301,301,1
"binman",0,"MIT",1,12,302,302,2
"CNLTreg",0,"GPL",0,4,NA,303.3,4
"CNLTtsa",0,"GPL",0,4,210,210,4
"future.batchtools",0,"LGPL",1,5,302,302,1
"qqplotr",0,"GPL",1,4,NA,304.2,3
"rmpw",0,"GPL",1,0,NA,303.3,3
"SmoothWin",1,"LGPL",0,1,200,200,1
"CATkit",1,"GPL",0,10,NA,303.3,3
"CodeDepends",0,"GPL",0,11,NA,304.1,4
"dgo",0,"GPL",1,14,302,302,3
"easyDes",1,"GPL",0,4,303,303,2
"glue",1,"MIT",1,3,300,300,1
"pinp",0,"GPL",1,2,NA,304.2,1
"rmda",1,"GPL",1,4,NA,304.2,1
"RTransProb",0,"GPL",1,7,202,202,1
"scatterpie",0,"Artistic-2.0",1,7,303,303,1
"BayesianTools",0,"CC BY",1,23,301,301,6
"beyondWhittle",0,"GPL",1,3,NA,303.3,4
"DendroSync",0,"GPL",1,5,301,301,4
"GCalignR",0,"GPL",1,12,302,302,4
"keyring",1,"MIT",1,9,NA,304.2,2
"ordinalForest",1,"GPL",1,3,NA,304,1
"spacyr",0,"GPL",1,7,303,303,2
"WRTDStidal",1,"CC0",1,15,301,301,1
"benchr",0,"GPL",1,6,NA,303.3,3
"GreedyExperimentalDesign",1,"GPL",1,4,302,302,2
"MODIStsp",1,"GPL",1,22,301,301,4
"Rlinsolve",0,"GPL",1,9,NA,304.3,1
"SpaDES.tools",0,"GPL",1,33,303,303,7
"FRK",0,"GPL",1,26,301,301,1
"htree",0,"GPL",0,0,209,209,1
"incadata",0,"GPL",1,8,210,210,1
"Rlda",0,"GPL",1,8,210,210,1
"gemlog",0,"GPL",0,1,NA,303.3,1
"MAGNAMWAR",1,"MIT",1,15,300,300,3
"qGaussian",0,"GPL",1,3,302,302,1
"spass",1,"GPL",0,8,NA,303.2,4
"desctable",0,"GPL",1,8,302,302,1
"polyPK",1,"GPL",0,15,NA,304.2,4
"bayesDP",1,"GPL",1,7,NA,304,4
"cetcolor",0,"CC BY",1,2,303,303,2
"crul",0,"MIT",1,7,NA,303.3,1
"MetaSubtract",1,"GPL",0,0,NA,304.2,1
"pdfsearch",0,"MIT",1,4,303,303,1
"qicharts2",0,"GPL",1,8,300,300,1
"rhoR",1,"GPL",1,1,300,300,5
"spelling",1,"MIT",1,4,NA,304.2,2
"phylopath",0,"GPL",1,13,210,210,1
"ggforce",0,"GPL",1,14,210,210,1
"ggraph",1,"GPL",1,19,210,210,1
"AcousticNDLCodeR",1,"GPL",1,4,300,300,2
"CytobankAPI",1,"Artistic-2.0",1,7,NA,303.3,3
"docxtools",0,"MIT",1,6,NA,303.3,1
"ggfittext",0,"GPL",1,6,303,303,1
"bmixture",0,"GPL",0,0,300,300,1
"permDep",1,"GPL",0,4,NA,304.1,1
"satscanMapper",1,"GPL",0,10,303,303,2
"GADMTools",1,"GPL",0,14,NA,304,2
"kernelboot",0,"GPL",1,7,301,301,1
"visdat",0,"MIT",1,11,302,302,5
"DatabionicSwarm",0,"GPL",0,16,300,300,1
"GeneralizedUmatrix",0,"GPL",0,8,300,300,2
"ggedit",0,"GPL",1,16,203,203,1
"glmmTMB",0,"AGPL",1,18,NA,303.3,9
