pkg_name,testthat_dir_present,testthat_R_files_lines_cnt,demo_dir_present,demo_R_files_lines_cnt,data_dir_present,data_size_total,data_size_rda,data_size_rdata,data_size_txt,data_size_gz,data_size_csv,data_cnt_total,data_cnt_rda,data_cnt_rdata,data_cnt_txt,data_cnt_gz,data_cnt_csv,src_dir_present,src_files_size_total,src_files_size_h,src_files_size_cpp,src_files_size_c,src_files_cnt_total,src_files_cnt_h,src_files_cnt_cpp,src_files_cnt_c
nandb,1,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27120,0,10256,2250,6,0,2,1
Rcrawler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reportReg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aphid,1,189,0,0,1,27979,0,27979,0,0,0,3,0,3,0,0,0,1,69556,0,69478,0,6,0,5,0
gastempt,1,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,215611,0,18523,0,5,0,2,0
antiword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1304056,190585,0,771537,110,9,0,64
arsenal,1,790,0,0,1,36933,0,36933,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dtangle,1,86,0,0,1,190486,190486,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
httptest,1,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
idefix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MALDIrppa,0,0,0,0,1,990120,990120,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
quickPlot,1,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
survHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,338967,0,25807,0,4,0,2,0
unrtf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,294643,41254,0,222303,39,16,0,15
walker,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82358,0,4816,476,5,0,1,1
MADPop,1,66,0,0,1,1219,0,1219,0,0,0,1,0,1,0,0,0,1,29122,25278,611,0,5,1,1,0
memapp,0,0,0,0,1,2065,2065,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
breathteststan,1,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42158,0,2959,0,5,0,2,0
elasticsearchr,1,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exampletestr,1,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gggenes,1,46,0,0,1,1251,1251,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
huxtable,1,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
worrms,1,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mdmb,0,0,0,0,1,25436,25436,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
webmockr,1,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WVPlots,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augSIMEX,0,0,0,0,1,76931,76931,0,0,0,0,3,3,0,0,0,0,1,20178,0,20178,0,8,0,8,0
autothresholdr,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eulerr,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jmvcore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semtree,0,0,1,356,1,15845,15845,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sessioninfo,1,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shinyWidgets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spant,0,0,0,0,1,594396,594396,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KarsTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sigr,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
egg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numform,1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
owmr,1,182,0,0,1,1204645,1204634,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tidyRSS,0,0,0,0,1,1415,1415,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dexter,0,0,0,0,1,5190,5190,0,0,0,0,4,4,0,0,0,0,1,1140,158,0,982,2,1,0,1
redlistr,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tesseract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5508,344,4508,0,6,2,2,0
VARtests,0,0,0,0,1,7157,0,7157,0,0,0,1,0,1,0,0,0,1,18223,0,17182,944,8,0,5,1
hutils,1,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
incidence,1,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
automultinomial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flextable,1,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gibble,0,0,0,0,1,561,561,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mvord,0,0,0,0,1,1242170,1242053,0,0,0,0,8,7,0,0,0,0,1,18877,0,0,524,2,0,0,1
RATest,0,0,0,0,1,96087,96087,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
restriktor,0,0,0,0,1,5910,5910,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
shallot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spatstat.utils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45804,3378,0,42426,12,3,0,9
AMModels,0,0,0,0,1,12789,12789,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filesstrings,1,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12897,0,5441,1908,3,0,1,1
GDINA,1,54,0,0,1,59771,59771,0,0,0,0,8,8,0,0,0,0,1,24539,0,24341,0,13,0,11,0
greta,1,2518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lemon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vennLasso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,300524,274947,24773,233,36,31,2,1
rsparkling,1,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strip,1,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atus,0,0,0,0,1,6336853,6336828,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ebimetagenomics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spectrolab,1,218,0,0,1,776933,776933,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
sugrrants,1,199,0,0,1,168931,168931,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
uavRmp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vistime,0,0,1,2,1,379,379,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ggspatial,0,0,0,0,1,1124195,1124074,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0
BayesS5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commonsMath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drake,1,1378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
latexpdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
link2GI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
electoral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JuliaCall,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
microdemic,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MODIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PhenotypeSimulator,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2164,0,1913,234,4,0,2,1
reactR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rlang,1,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40565,5181,0,35384,19,4,0,15
rlas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1402619,0,1102662,0,114,0,42,0
sitree,0,0,0,0,1,20803,0,20803,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
solvebio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
texPreview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CrossVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d3r,1,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dodgr,1,42,0,0,1,27263,27263,0,0,0,0,2,2,0,0,0,0,1,205548,34329,169806,1258,28,12,14,1
mmpf,1,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mvLSW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21488,0,0,21488,1,0,0,1
NetworkInference,1,102,0,0,1,14563,0,14563,0,0,0,3,0,3,0,0,0,1,19199,0,18523,676,3,0,2,1
rsMove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rWind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sf,1,281,1,171,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51207,707,49725,0,12,3,7,0
taskscheduleR,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trackdem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10070,0,9084,986,7,0,6,1
blogdown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEploid,1,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,266498,40079,134304,0,61,18,20,0
isdparser,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
websearchr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xaringan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bikedata,1,398,0,0,1,55198,55198,0,0,0,0,1,1,0,0,0,0,1,7690749,551032,10372,7129246,10,6,2,1
dLagM,0,0,0,0,1,475,0,475,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dynamichazard,1,3344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,154002,20677,121392,3660,15,3,8,1
FishResp,0,0,0,0,1,869078,0,868960,0,0,0,13,0,12,0,0,0,0,0,0,0,0,0,0,0,0
meteoland,0,0,0,0,1,1494426,1494356,0,0,0,0,4,3,0,0,0,0,1,71511,322,71189,0,8,1,7,0
osmdata,1,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,232302,159151,73113,0,17,8,8,0
bridgesampling,1,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdata,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RApiDatetime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77490,34635,0,42808,6,2,0,3
lexicon,0,0,0,0,1,1111920,1111432,0,0,0,0,32,31,0,0,0,0,0,0,0,0,0,0,0,0,0
ciTools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
poliscidata,0,0,0,0,1,2003182,2003128,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0
webTRISr,1,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wikitaxa,1,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xtensor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1632,0,1450,0,4,0,2,0
antaresRead,1,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bsplinePsd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13886,0,13657,229,4,0,3,1
charlatan,1,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evaluator,1,4,0,0,1,2046508,2046421,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0
hNMF,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PowerUpR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PWEALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36210,0,0,0,1,0,0,0
sdpt3r,0,0,0,0,1,6149,6149,0,0,0,0,13,13,0,0,0,0,1,185658,22316,0,163342,79,12,0,67
BimodalIndex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
breathtestcore,1,641,0,0,1,57527,57527,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
clickR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dataPreparation,1,367,0,0,1,1189722,1189702,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
fergm,0,0,0,0,1,3629706,3629682,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
GenAlgo,0,0,0,0,1,21045,21045,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
pinyin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pivottabler,1,737,0,0,1,1056830,1056784,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
bcROCsurface,0,0,0,0,1,5534,5534,0,0,0,0,1,1,0,0,0,0,1,6491,0,6394,0,5,0,3,0
bookdownplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grattan,1,1160,0,0,1,415,415,0,0,0,0,1,1,0,0,0,0,1,6003,0,6003,0,6,0,6,0
queuecomputer,1,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3674,0,3674,0,2,0,2,0
cosinor2,0,0,0,0,1,4056,4056,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
crminer,1,260,0,0,1,6563,6563,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
define,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dendroTools,1,82,0,0,1,28528,28528,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
dslabs,0,0,0,0,1,1931,1931,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
readJDX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stormwindmodel,0,0,0,0,1,41426,41426,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
analytics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
touch,0,0,0,0,1,22100,22100,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hoardr,1,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
psychmeta,0,0,0,0,1,25762,0,25762,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0
Rnightlights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
treemapify,1,112,0,0,1,838,838,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bamlss,0,0,0,0,1,944696,944696,0,0,0,0,2,2,0,0,0,0,1,90373,0,0,90327,3,0,0,2
mMPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mrfDepth,0,0,0,0,1,336876,0,336876,0,0,0,6,0,6,0,0,0,1,277735,0,35605,0,22,0,7,0
antaresViz,1,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BatchGetSymbols,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLightR,1,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GetLattesData,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GROAN,0,0,0,0,1,70886,70886,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
itunesr,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
partialCI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13265,0,4515,1441,3,0,1,1
Rodam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stacomiR,0,0,0,0,1,481100,480942,0,0,158,0,24,23,0,0,1,0,0,0,0,0,0,0,0,0,0
tidyselect,1,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4417,0,4417,0,2,0,2,0
airGR,0,0,0,0,1,478664,478664,0,0,0,0,3,3,0,0,0,0,1,58640,0,0,0,9,0,0,0
emdi,1,396,0,0,1,430652,430652,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
NetworkChange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wooldridge,1,14,0,0,1,2093673,0,2092800,0,0,0,106,0,105,0,0,0,0,0,0,0,0,0,0,0,0
EFAutilities,0,0,0,0,1,10706,10706,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
mindr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nucim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
billboarder,1,194,0,0,1,4145,4145,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
c212,0,0,0,0,1,72175,0,0,0,72175,0,4,0,0,0,4,0,1,613407,68392,545015,0,26,13,13,0
easyreg,0,0,0,0,1,1818,1818,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
psda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sptemExp,0,0,0,0,1,3497416,3497294,0,0,0,0,12,11,0,0,0,0,1,17860,2325,15535,0,8,2,6,0
pollen,1,20,0,0,1,67606,67606,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ratelimitr,1,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rmapzen,1,686,0,0,1,233875,233875,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
wallace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bazar,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
googledrive,1,2186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pdSpecEst,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14180,0,12502,1566,16,0,13,1
spmoran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
