pkg_name,pkg_vig_any,pkg_vig_name,words_cnt
fastLink,0,NA,NA
fingertipsR,1,vignettes/lifeExpectancy.html,843
fingertipsR,1,vignettes/selectIndicatorsRedRed.html,229
FSelectorRcpp,1,vignettes/benchmarks_discretize.html,762
FSelectorRcpp,1,vignettes/get_started.html,1104
FSelectorRcpp,1,vignettes/integer-variables.html,479
reqres,0,NA,NA
STARTS,0,NA,NA
AMCTestmakeR,1,vignettes/AMCTestmaker.html,998
nandb,1,vignettes/batch-mode.html,187
nandb,1,vignettes/brightness-timeseries.html,108
nandb,1,vignettes/single-images.html,598
Rcrawler,0,NA,NA
reportReg,0,NA,NA
aphid,1,vignettes/aphid-vignette.html,2518
gastempt,1,vignettes/gastempt.html,1
antiword,0,NA,NA
arsenal,1,vignettes/compare.html,1351
arsenal,1,vignettes/freqlist.html,1156
arsenal,1,vignettes/labels.html,394
arsenal,1,vignettes/modelsum.html,5053
arsenal,1,vignettes/paired.html,365
arsenal,1,vignettes/tableby.html,3436
arsenal,1,vignettes/write2.html,1469
dtangle,1,vignettes/basic-deconvolution.html,1018
httptest,1,vignettes/httptest.html,2460
httptest,1,vignettes/redacting.html,1187
httptest,1,vignettes/vignettes.html,902
idefix,0,NA,NA
MALDIrppa,1,vignettes/MALDIrppa_vignette.html,2958
quickPlot,1,vignettes/iii-plotting.html,2779
survHE,0,NA,NA
unrtf,0,NA,NA
walker,1,vignettes/walker.html,1401
MADPop,1,vignettes/MADPop-quicktut.html,1771
memapp,0,NA,NA
breathteststan,0,NA,NA
elasticsearchr,1,vignettes/quick_start.html,1316
exampletestr,1,vignettes/one-file-at-a-time.html,376
exampletestr,1,vignettes/one-function-at-a-time.html,375
exampletestr,1,vignettes/whole-package.html,390
gggenes,1,vignettes/introduction-to-gggenes.html,509
huxtable,1,vignettes/design-principles.html,431
huxtable,1,vignettes/huxreg.html,576
huxtable,1,vignettes/huxtable.html,1862
huxtable,1,vignettes/themes.html,14
worrms,1,vignettes/worrms_vignette.html,636
mdmb,0,NA,NA
webmockr,0,NA,NA
WVPlots,1,vignettes/WVPlots_concept.html,461
WVPlots,1,vignettes/WVPlots_examples.html,1268
augSIMEX,0,NA,NA
autothresholdr,1,vignettes/finding-thresholds.html,367
autothresholdr,1,vignettes/thresholding-image-stacks.html,441
autothresholdr,1,vignettes/thresholding-images.html,246
eulerr,1,vignettes/introduction.html,663
eulerr,1,vignettes/under-the-hood.html,1749
eulerr,1,vignettes/visualization.html,436
jmvcore,0,NA,NA
semtree,0,NA,NA
sessioninfo,0,NA,NA
shinyWidgets,0,NA,NA
spant,1,vignettes/spant-intro.html,148
KarsTS,0,NA,NA
sigr,1,vignettes/lmExample.html,58
sigr,1,vignettes/sigrFormatting.html,263
egg,1,vignettes/Ecosystem.html,1233
egg,1,vignettes/Overview.html,867
numform,0,NA,NA
owmr,0,NA,NA
tidyRSS,1,vignettes/tidyrss.html,190
dexter,1,vignettes/Equating.html,1394
dexter,1,vignettes/Plausible_Values.html,985
dexter,1,vignettes/Test_Individual_differences.html,459
dexter,1,vignettes/data_management.html,1077
dexter,1,vignettes/dexter.html,1808
dexter,1,vignettes/profile-plots.html,569
redlistr,1,vignettes/iteration-vignette.html,1015
redlistr,1,vignettes/redlistr-vignette.html,1697
tesseract,1,vignettes/intro.html,452
VARtests,0,NA,NA
hutils,1,vignettes/hutils.html,1724
incidence,1,vignettes/conversions.html,835
incidence,1,vignettes/customize_plot.html,1007
incidence,1,vignettes/incidence_class.html,925
incidence,1,vignettes/incidence_fit_class.html,2282
incidence,1,vignettes/overview.html,1891
automultinomial,1,vignettes/vignette.pdf,2311
flextable,1,vignettes/examples.html,712
flextable,1,vignettes/format.html,1574
flextable,1,vignettes/layout.html,918
flextable,1,vignettes/overview.html,896
gibble,0,NA,NA
mvord,1,vignettes/vignette_mvord2.html,538
mvord,1,vignettes/vignette_mvord.pdf,11108
RATest,1,vignettes/RDperm.pdf,2724
restriktor,0,NA,NA
shallot,0,NA,NA
spatstat.utils,0,NA,NA
AMModels,1,vignettes/AMModelsCheatSheet.pdf,427
AMModels,1,vignettes/journal.pone.0188966.pdf,11503
cpt,0,NA,NA
filesstrings,1,vignettes/files.html,215
GDINA,1,vignettes/GDINA.html,17
greta,1,vignettes/example_models.html,2696
greta,1,vignettes/get_started.html,2648
lemon,1,vignettes/capped-axes.html,673
lemon,1,vignettes/facet-rep-labels.html,268
lemon,1,vignettes/geoms.html,72
lemon,1,vignettes/gtable_show_lemonade.html,243
lemon,1,vignettes/legends.html,796
lemon,1,vignettes/lemon_print.html,226
vennLasso,1,vignettes/using_the_vennLasso_package.pdf,1142
rsparkling,0,NA,NA
strip,0,NA,NA
atus,0,NA,NA
ebimetagenomics,0,NA,NA
spectrolab,1,vignettes/advanced_spectrolab.pdf,349
spectrolab,1,vignettes/introduction_to_spectrolab.pdf,1271
spectrolab,1,vignettes/match_sensors.pdf,288
sugrrants,1,vignettes/frame-calendar.html,1228
uavRmp,1,vignettes/uavRmp_1.pdf,2331
vistime,0,NA,NA
ggspatial,1,vignettes/ggspatial.html,642
BayesS5,0,NA,NA
commonsMath,1,vignettes/commonsMath.html,156
drake,1,vignettes/drake.html,207
latexpdf,1,vignettes/tabular.pdf,306
link2GI,1,vignettes/link2GI1.html,2093
electoral,0,NA,NA
JuliaCall,1,vignettes/JuliaCall_in_Jupyter_R_Notebook.html,31
JuliaCall,1,vignettes/Julia_in_RMarkdown.html,80
microdemic,0,NA,NA
MODIS,0,NA,NA
PhenotypeSimulator,1,vignettes/PhenotypeSimulator.pdf,2718
PhenotypeSimulator,1,vignettes/Sample-scripts-external-genotype-simulation.pdf,579
PhenotypeSimulator,1,vignettes/Simulation-and-LinearModel.pdf,2098
reactR,1,vignettes/intro_reactR.html,101
rlang,0,NA,NA
rlas,0,NA,NA
sitree,1,vignettes/TestEquations.html,1220
solvebio,0,NA,NA
texPreview,1,vignettes/tests_and_coverage.html,25
CrossVA,0,NA,NA
d3r,0,NA,NA
dodgr,1,vignettes/benchmark.html,432
dodgr,1,vignettes/dodgr.html,3144
mmpf,1,vignettes/mmpf.html,679
mvLSW,0,NA,NA
NetworkInference,1,vignettes/quickstart_vignette.html,143
NetworkInference,1,vignettes/tutorial_vignette.html,1631
rsMove,1,vignettes/resource_suitability.html,1326
rWind,1,vignettes/Shortest_paths.html,397
sf,1,vignettes/sf1.html,3353
sf,1,vignettes/sf2.html,1053
sf,1,vignettes/sf3.html,1239
sf,1,vignettes/sf4.html,850
sf,1,vignettes/sf5.html,961
sf,1,vignettes/sf6.html,491
taskscheduleR,1,vignettes/taskscheduleR.html,427
trackdem,1,vignettes/tutorial.pdf,3715
blogdown,0,NA,NA
DEploid,1,vignettes/dEploid-Arguments.html,503
isdparser,1,vignettes/isdparser_vignette.html,498
websearchr,0,NA,NA
xaringan,1,vignettes/intro-en_US.html,1
xaringan,1,vignettes/intro-zh_CN.html,1
bikedata,1,vignettes/bikedata.html,2870
dLagM,0,NA,NA
dynamichazard,1,vignettes/Comparing_methods_for_logistic_models.pdf,2957
dynamichazard,1,vignettes/Diagnostics.pdf,2751
dynamichazard,1,vignettes/ddhazard.pdf,6292
dynamichazard,1,vignettes/Bootstrap_illustration.pdf,1529
dynamichazard,1,vignettes/Particle_filtering.pdf,3359
FishResp,0,NA,NA
meteoland,1,vignettes/Meteorology.pdf,6604
meteoland,1,vignettes/UserGuide.html,3011
osmdata,1,vignettes/osm-sf-translation.html,1528
osmdata,1,vignettes/osmdata.html,3109
bridgesampling,1,vignettes/bridgesampling_example_jags.html,1324
bridgesampling,1,vignettes/bridgesampling_example_nimble.html,861
bridgesampling,1,vignettes/bridgesampling_example_stan.html,843
bridgesampling,1,vignettes/bridgesampling_stan_ttest.html,1010
bridgesampling,1,vignettes/bridgesampling_paper.pdf,8436
bridgesampling,1,vignettes/bridgesampling_paper_extended.pdf,8169
bridgesampling,1,vignettes/bridgesampling_tutorial.pdf,10910
cdata,1,vignettes/cdata.html,164
RApiDatetime,0,NA,NA
lexicon,0,NA,NA
ciTools,1,vignettes/ciTools-binomial-vignette.html,765
ciTools,1,vignettes/ciTools-demo.html,1244
ciTools,1,vignettes/ciTools-glm-vignette.html,2558
ciTools,1,vignettes/citools-merMod-vignette.html,3056
poliscidata,0,NA,NA
webTRISr,0,NA,NA
wikitaxa,1,vignettes/wikitaxa_vignette.html,484
xtensor,0,NA,NA
antaresRead,1,vignettes/antares.html,905
antaresRead,1,vignettes/antaresH5.html,280
bsplinePsd,0,NA,NA
charlatan,1,vignettes/charlatan_vignette.html,429
evaluator,1,vignettes/customization.html,44
evaluator,1,vignettes/process.html,110
evaluator,1,vignettes/usage.html,943
hNMF,0,NA,NA
PowerUpR,1,vignettes/three_level_cluster_randomized_trial.html,316
PWEALL,0,NA,NA
sdpt3r,1,vignettes/doptimal.pdf,543
sdpt3r,1,vignettes/dwd.pdf,239
sdpt3r,1,vignettes/etp.pdf,225
sdpt3r,1,vignettes/gpp.pdf,130
sdpt3r,1,vignettes/lmi.pdf,235
sdpt3r,1,vignettes/logcheby.pdf,141
sdpt3r,1,vignettes/lovasz.pdf,123
sdpt3r,1,vignettes/maxcut.pdf,593
sdpt3r,1,vignettes/maxkcut.pdf,151
sdpt3r,1,vignettes/minelips.pdf,113
sdpt3r,1,vignettes/nearcorr.pdf,652
sdpt3r,1,vignettes/toeplitz.pdf,135
BimodalIndex,1,vignettes/bim.pdf,329
breathtestcore,1,vignettes/data_formats.html,818
breathtestcore,1,vignettes/methods_and_concepts.html,1470
clickR,0,NA,NA
dataPreparation,1,vignettes/dataPreparation.html,783
dataPreparation,1,vignettes/train_test_prep.html,732
fergm,1,vignettes/mesaHighVignette.html,1139
GenAlgo,1,vignettes/genalg.pdf,2548
pinyin,0,NA,NA
pivottabler,1,vignettes/v01-introduction.html,1383
pivottabler,1,vignettes/v02-datagroups.html,1507
pivottabler,1,vignettes/v03-calculations.html,2523
pivottabler,1,vignettes/v04-outputs.html,727
pivottabler,1,vignettes/v05-latexoutput.html,396
pivottabler,1,vignettes/v06-styling.html,1461
pivottabler,1,vignettes/v07-findingandformatting.html,3026
pivottabler,1,vignettes/v08-cellcontext.html,714
pivottabler,1,vignettes/v09-irregularlayout.html,1083
pivottabler,1,vignettes/v10-performance.html,2986
pivottabler,1,vignettes/v11-shiny.html,1753
pivottabler,1,vignettes/v12-excelexport.html,1030
pivottabler,1,vignettes/vA1-appendix.html,388
pivottabler,1,vignettes/vA2-appendix.html,2476
pivottabler,1,vignettes/vA3-appendix.html,729
bcROCsurface,1,vignettes/example.html,637
bookdownplus,0,NA,NA
grattan,1,vignettes/datatable-implementation.html,253
grattan,1,vignettes/grattan.html,5958
queuecomputer,1,vignettes/Howto.html,473
queuecomputer,1,vignettes/MMk_queues.html,494
cosinor2,1,vignettes/cosinor2.html,2186
crminer,0,NA,NA
define,0,NA,NA
dendroTools,1,vignettes/Examples_daily_response.html,1799
dendroTools,1,vignettes/compare_methods_vignette.html,1485
dslabs,0,NA,NA
readJDX,1,vignettes/readJDX.pdf,872
stormwindmodel,1,vignettes/Details.html,3385
stormwindmodel,1,vignettes/Overview.html,1231
analytics,0,NA,NA
touch,0,NA,NA
GSED,0,NA,NA
hoardr,1,vignettes/hoardr_vignette.html,97
psychmeta,1,vignettes/overview.html,4115
Rnightlights,0,NA,NA
treemapify,1,vignettes/introduction-to-treemapify.html,585
bamlss,0,NA,NA
mMPA,1,vignettes/my-vignette.html,171
mrfDepth,0,NA,NA
antaresViz,1,vignettes/antaresViz.html,775
BatchGetSymbols,1,vignettes/BatchGetSymbols-vignette.html,422
FLightR,1,vignettes/FLightR_with_black-tailed_godwit_vignette_from_MEE_2017.html,1356
GetLattesData,1,vignettes/gld_vignette-ReadLattes.html,446
GROAN,1,vignettes/GROAN.vignette.html,2259
itunesr,0,NA,NA
partialCI,1,vignettes/pci_vignette.html,1348
Rodam,1,vignettes/Rodam.html,347
stacomiR,1,vignettes/stacomir.html,1191
tidyselect,0,NA,NA
airGR,1,vignettes/V01_get_started.html,1279
airGR,1,vignettes/V02.1_param_optim.html,589
airGR,1,vignettes/V02.2_param_mcmc.html,679
airGR,1,vignettes/V03_param_sets_GR4J.html,856
emdi,1,vignettes/vignette_emdi.pdf,9346
NetworkChange,0,NA,NA
wooldridge,1,vignettes/Introductory-Econometrics-Examples.html,2638
EFAutilities,0,NA,NA
mindr,0,NA,NA
nucim,1,vignettes/DAPIclassification.html,61
nucim,1,vignettes/workflow_many.html,36
nucim,1,vignettes/workflow.html,126
billboarder,1,vignettes/billboarder-intro.html,393
billboarder,1,vignettes/billboarder-mapping.html,284
billboarder,1,vignettes/billboarder-options.html,696
c212,0,NA,NA
easyreg,0,NA,NA
psda,0,NA,NA
sptemExp,0,NA,NA
pollen,1,vignettes/intro.html,464
ratelimitr,1,vignettes/introduction.html,367
rmapzen,1,vignettes/rmapzen-introduction.html,985
wallace,0,NA,NA
bazar,0,NA,NA
googledrive,1,vignettes/googledrive.html,19
pdSpecEst,1,vignettes/depth_ranktests.html,1811
pdSpecEst,1,vignettes/wavelet_est_clust.html,2483
spmoran,1,vignettes/vignettes.pdf,4180
CMatching,0,NA,NA
comtradr,1,vignettes/comtradr-vignette.html,3116
PWFSLSmoke,1,vignettes/Data_Model.html,572
PWFSLSmoke,1,vignettes/Maps_and_Timeseries_Plots.html,666
PWFSLSmoke,1,vignettes/NowCast.html,2410
uiucthemes,1,vignettes/pkg-templates.html,30
auk,1,vignettes/auk.html,4021
auk,1,vignettes/development.html,1239
Delta,0,NA,NA
partitionComparison,0,NA,NA
rjmcmc,1,vignettes/rjmcmcVig.pdf,5124
soundgen,1,vignettes/acoustic_analysis.html,6761
soundgen,1,vignettes/sound_generation.html,9850
spatstat.data,0,NA,NA
TileManager,0,NA,NA
ClassDiscovery,1,vignettes/maha-test.pdf,491
ClassDiscovery,1,vignettes/oompa-cd.pdf,1855
dataMaid,1,vignettes/extending_dataMaid.html,4026
mdsOpt,0,NA,NA
odr,1,vignettes/odr.html,1347
PeakSegJoint,0,NA,NA
RcmdrPlugin.RiskDemo,0,NA,NA
vein,0,NA,NA
tensorBF,0,NA,NA
WeightedROC,1,vignettes/Definition.pdf,244
WeightedROC,1,vignettes/Speed.pdf,527
carData,0,NA,NA
loon,1,vignettes/minorities.html,4486
loon,1,vignettes/teaching-example-smoothing.html,2649
metaplot,0,NA,NA
nanotime,0,NA,NA
nonmemica,1,vignettes/parameter-table.html,1240
clustermq,1,vignettes/clustermq.html,632
fDMA,1,vignettes/fDMA_vignette.pdf,18376
LearnGeom,0,NA,NA
shadow,1,vignettes/introduction.pdf,6071
antaresProcessing,1,vignettes/antaresProcessing.html,324
BETS,1,vignettes/BETS_basic_usage.html,1984
ecm,0,NA,NA
scalpel,0,NA,NA
textreadr,0,NA,NA
ggridges,1,vignettes/gallery.html,673
ggridges,1,vignettes/introduction.html,2361
boxcoxmix,1,vignettes/boxcoxmix.pdf,4248
seplyr,1,vignettes/MutatePartitioner.html,869
seplyr,1,vignettes/named_map_builder.html,187
seplyr,1,vignettes/rename_se.html,213
seplyr,1,vignettes/seplyr.html,532
seplyr,1,vignettes/using_seplyr.html,1318
frequencyConnectedness,0,NA,NA
grf,0,NA,NA
parallelDist,1,vignettes/parallelDist.pdf,1015
revengc,1,vignettes/duchscherer-stewart-urban.pdf,2292
smapr,1,vignettes/smapr-intro.html,1920
geex,1,vignettes/v00_geex_intro.html,1186
geex,1,vignettes/v01_additional_examples.html,1028
geex,1,vignettes/v02_sandwich_comparison.html,211
geex,1,vignettes/v03_root_solvers.html,186
geex,1,vignettes/v04_weights.html,209
geex,1,vignettes/v05_finite_sample_corrections.html,672
geex,1,vignettes/v06_causal_example.html,1049
geex,1,vignettes/v07_geex_design.html,460
geojsonR,1,vignettes/the_geojsonR_package.html,1312
jtools,1,vignettes/categorical.html,549
jtools,1,vignettes/interactions.html,3163
jtools,1,vignettes/summ.html,2271
jtools,1,vignettes/svycor.html,590
sparsepp,0,NA,NA
uGMAR,1,vignettes/intro-to-uGMAR.html,1744
HEMDAG,0,NA,NA
RInno,1,vignettes/Introduction.html,500
RInno,1,vignettes/cont-installation.html,506
datasauRus,1,vignettes/Datasaurus.html,227
gravity,1,vignettes/crash-course-on-gravity-models.html,1038
gravity,1,vignettes/creating-gravity-datasets.html,264
phuse,0,NA,NA
rcoreoa,1,vignettes/cored_vignette.html,998
ROptSpace,0,NA,NA
BayLum,1,vignettes/BayLum.html,1794
CIAAWconsensus,0,NA,NA
dataCompareR,1,vignettes/dataCompareR.html,302
replyr,1,vignettes/DependencySorting.html,649
replyr,1,vignettes/ParametricExample.html,583
replyr,1,vignettes/coalesce.html,438
replyr,1,vignettes/joinController.html,1692
replyr,1,vignettes/letExample.html,453
replyr,1,vignettes/replyr.html,1376
replyr,1,vignettes/summary.html,137
hetGP,0,NA,NA
later,1,vignettes/later-cpp.html,299
ReIns,1,vignettes/ReIns.html,2478
gdns,0,NA,NA
mbir,1,vignettes/mbir-vignette.html,3701
aiRthermo,0,NA,NA
graphon,0,NA,NA
hIRT,0,NA,NA
reprex,1,vignettes/reprex-dos-and-donts.html,291
usmap,1,vignettes/introduction.html,324
usmap,1,vignettes/mapping.html,451
BLPestimatoR,1,vignettes/blp_intro.html,3224
spData,0,NA,NA
LabourMarketAreas,0,NA,NA
mize,1,vignettes/convergence.html,1041
mize,1,vignettes/mize.html,4836
mize,1,vignettes/mmds.html,1172
mize,1,vignettes/stateful.html,1529
moveVis,0,NA,NA
sgmcmc,1,vignettes/gaussMixture.html,930
sgmcmc,1,vignettes/logisticRegression.html,989
sgmcmc,1,vignettes/mvGauss.html,788
sgmcmc,1,vignettes/nn.html,1514
sgmcmc,1,vignettes/sgmcmc.html,989
document,1,vignettes/Introduction_to_document.html,245
EnvCpt,0,NA,NA
HDtest,0,NA,NA
knor,0,NA,NA
nse,0,NA,NA
SimPhe,1,vignettes/SimPhe.html,856
bigstep,1,vignettes/bigstep.html,1254
bomrang,1,vignettes/bomrang.html,2837
bomrang,1,vignettes/use_case.html,525
geosapi,0,NA,NA
getCRUCLdata,1,vignettes/getCRUCLdata.html,1077
ggmosaic,1,vignettes/ggmosaic.html,787
grec,0,NA,NA
merDeriv,0,NA,NA
odpc,0,NA,NA
sjlabelled,1,vignettes/intro_sjlabelled.html,2678
sjlabelled,1,vignettes/labelleddata.html,603
fastnet,0,NA,NA
IncDTW,1,vignettes/Incremental_Dynamic_Time_Warping.html,1638
IncDTW,1,vignettes/Runtime_Comparison.html,835
mixKernel,0,NA,NA
PhylogeneticEM,1,vignettes/monkeys.html,1272
PhylogeneticEM,1,vignettes/tutorial.html,800
prettycode,0,NA,NA
scorecard,1,vignettes/demo.html,330
zoocat,1,vignettes/my-vignette.html,366
BIGL,1,vignettes/analysis.html,2371
BIGL,1,vignettes/methodology.html,1198
datasets.load,0,NA,NA
ghibli,1,vignettes/ghibli-guide.html,112
naniar,1,vignettes/exploring-imputed-values.html,1054
naniar,1,vignettes/getting-started-w-naniar.html,1866
naniar,1,vignettes/naniar-visualisation.html,744
naniar,1,vignettes/replace-with-na.html,1144
naniar,1,vignettes/special-missing-values.html,655
penaltyLearning,0,NA,NA
rly,0,NA,NA
udpipe,1,vignettes/udpipe-annotation.html,648
udpipe,1,vignettes/udpipe-train.html,1133
udpipe,1,vignettes/udpipe-tryitout.html,152
udpipe,1,vignettes/udpipe-usecase-postagging-lemmatisation.html,762
udpipe,1,vignettes/udpipe-usecase-topicmodelling.html,873
redR,0,NA,NA
reportROC,0,NA,NA
fitur,1,vignettes/diagnostic_plots.html,290
fitur,1,vignettes/introduction.html,379
fitur,1,vignettes/univariate_distributions.html,1
ggdmc,0,NA,NA
healthcareai,0,NA,NA
fastR2,1,vignettes/Errata2e.html,1
gamesGA,0,NA,NA
iMediate,0,NA,NA
sinew,0,NA,NA
taxonomizr,1,vignettes/usage.html,958
bayesImageS,1,vignettes/Background.html,999
bayesImageS,1,vignettes/mcmcPotts.html,478
bayesImageS,1,vignettes/mcmcPottsNoData.html,761
bayesImageS,1,vignettes/swNoData.html,605
bayesImageS,1,vignettes/introduction.pdf,3390
intccr,0,NA,NA
lero.lero,0,NA,NA
OOBCurve,0,NA,NA
PeerPerformance,0,NA,NA
RiskPortfolios,0,NA,NA
covatest,0,NA,NA
fdANOVA,1,vignettes/fdANOVA.pdf,7401
cytometree,1,vignettes/autogating_cytometree.html,1128
SSLASSO,0,NA,NA
eDMA,0,NA,NA
MCMCvis,1,vignettes/MCMCvis.html,2005
tidycensus,0,NA,NA
vpc,0,NA,NA
bgsmtr,0,NA,NA
mclustcomp,0,NA,NA
supc,1,vignettes/supc_demo.html,904
supc,1,vignettes/supc.html,1408
startup,1,vignettes/startup-intro.html,1105
symDMatrix,0,NA,NA
TeXCheckR,0,NA,NA
tfruns,1,vignettes/managing.html,192
tfruns,1,vignettes/overview.html,764
tfruns,1,vignettes/tuning.html,422
adiv,0,NA,NA
BGData,0,NA,NA
gsynth,0,NA,NA
keras,1,vignettes/about_keras_layers.html,257
keras,1,vignettes/about_keras_models.html,430
keras,1,vignettes/applications.html,673
keras,1,vignettes/backend.html,1252
keras,1,vignettes/custom_layers.html,389
keras,1,vignettes/custom_models.html,387
keras,1,vignettes/custom_wrappers.html,264
keras,1,vignettes/eager_guide.html,1471
keras,1,vignettes/faq.html,2757
keras,1,vignettes/functional_api.html,2110
keras,1,vignettes/getting_started.html,1041
keras,1,vignettes/guide_keras.html,1505
keras,1,vignettes/sequential_model.html,1830
keras,1,vignettes/training_callbacks.html,416
keras,1,vignettes/training_visualization.html,793
keras,1,vignettes/tutorial_basic_classification.html,1255
keras,1,vignettes/tutorial_basic_regression.html,861
keras,1,vignettes/tutorial_basic_text_classification.html,1308
keras,1,vignettes/tutorial_overfit_underfit.html,1835
keras,1,vignettes/tutorial_save_and_restore.html,889
keras,1,vignettes/why_use_keras.html,358
perccalc,1,vignettes/perc_calculator_example.html,889
perccalc,1,vignettes/perc_warning_example.html,174
quickmatch,0,NA,NA
rtrim,1,vignettes/Skylark_example.html,2126
rtrim,1,vignettes/rtrim_2_extensions.html,2255
rtrim,1,vignettes/rtrim_confidence_intervals.html,2803
rtrim,1,vignettes/rtrim_for_TRIM_users.html,1258
rtrim,1,vignettes/taming_overdispersion.html,1342
rtrim,1,vignettes/TRIM_methods_v2.pdf,8028
scclust,0,NA,NA
stepPenal,0,NA,NA
CINNA,1,vignettes/CINNA.html,1901
manet,0,NA,NA
micemd,0,NA,NA
sarima,1,vignettes/garch_tests_example.pdf,948
sarima,1,vignettes/white_noise_tests.pdf,560
BayesNetBP,0,NA,NA
BioInstaller,1,vignettes/BioInstaller.html,2624
BioInstaller,1,vignettes/download.html,7
BioInstaller,1,vignettes/items_description.html,96
BioInstaller,1,vignettes/plugins_of_BioInstaller_shiny.html,204
BioInstaller,1,vignettes/start_shiny_of_BioInstaller.html,194
BioInstaller,1,vignettes/write_configuration_file.html,432
collapsibleTree,0,NA,NA
Eagle,0,NA,NA
geometa,0,NA,NA
GMSE,1,vignettes/SI1.pdf,3933
GMSE,1,vignettes/SI2.pdf,1381
GMSE,1,vignettes/SI3.pdf,4174
GMSE,1,vignettes/SI4.pdf,1799
GMSE,1,vignettes/SI5.pdf,2196
GMSE,1,vignettes/SI6.pdf,1240
GMSE,1,vignettes/SI7.pdf,2143
GMSE,1,vignettes/ms.pdf,2845
lidR,0,NA,NA
lmridge,0,NA,NA
rstantools,1,vignettes/developer-guidelines.html,1236
rstantools,1,vignettes/minimal-rstan-package.html,579
rvinecopulib,0,NA,NA
SSBtools,0,NA,NA
TLMoments,1,vignettes/comparison_of_computation_time.html,853
TLMoments,1,vignettes/short_introduction.html,720
quickblock,0,NA,NA
rsolr,1,vignettes/intro.pdf,1904
lagged,1,vignettes/Guide_lagged.pdf,917
RLT,0,NA,NA
shinyFeedback,1,vignettes/shinyFeedback-intro.html,728
censusapi,1,vignettes/example-masterlist.html,536
censusapi,1,vignettes/getting-started.html,827
dwapi,1,vignettes/quickstart.html,243
hrbrthemes,1,vignettes/why_hrbrthemes.html,823
IPEC,0,NA,NA
mockery,1,vignettes/mocks-and-testthat.html,529
sweep,1,vignettes/SW00_Introduction_to_sweep.html,1281
sweep,1,vignettes/SW01_Forecasting_Time_Series_Groups.html,1074
sweep,1,vignettes/SW02_Forecasting_Multiple_Models.html,1088
timetk,1,vignettes/TK00_Time_Series_Coercion.html,2143
timetk,1,vignettes/TK01_Working_With_Time_Series_Index.html,1101
timetk,1,vignettes/TK02_Making_A_Future_Time_Series_Index.html,1474
