pkg_name,pkg_vig_any,pkg_vig_name,pkg_vig_url,words_cnt,error_msg
pinbasic,1,vignettes/pinbasicVignette.html,https://cran.r-project.org/web/packages/pinbasic/vignettes/pinbasicVignette.html,6155,NA
RcppMsgPack,1,vignettes/vignette.html,https://cran.r-project.org/web/packages/RcppMsgPack/vignettes/vignette.html,105,NA
SpaDES.core,1,vignettes/i-introduction.html,https://cran.r-project.org/web/packages/SpaDES.core/vignettes/i-introduction.html,2551,NA
SpaDES.core,1,vignettes/ii-modules.html,https://cran.r-project.org/web/packages/SpaDES.core/vignettes/ii-modules.html,4434,NA
valr,1,vignettes/valr.html,https://cran.r-project.org/web/packages/valr/vignettes/valr.html,1558,NA
ggeffects,1,vignettes/effectsatvalues.html,https://cran.r-project.org/web/packages/ggeffects/vignettes/effectsatvalues.html,1314,NA
ggeffects,1,vignettes/marginaleffects.html,https://cran.r-project.org/web/packages/ggeffects/vignettes/marginaleffects.html,1612,NA
ggeffects,1,vignettes/plotmethod.html,https://cran.r-project.org/web/packages/ggeffects/vignettes/plotmethod.html,575,NA
ggeffects,1,vignettes/stata.html,https://cran.r-project.org/web/packages/ggeffects/vignettes/stata.html,554,NA
wTO,1,vignettes/wTOvignette.html,https://cran.r-project.org/web/packages/wTO/vignettes/wTOvignette.html,851,NA
ems,0,NA,NA,NA,NA
GENEAclassify,1,vignettes/GENEAclassifyDemo.html,https://cran.r-project.org/web/packages/GENEAclassify/vignettes/GENEAclassifyDemo.html,2274,NA
jmv,0,NA,NA,NA,NA
reproducible,1,vignettes/Intro-to-Cache.html,https://cran.r-project.org/web/packages/reproducible/vignettes/Intro-to-Cache.html,1702,NA
canvasXpress,1,vignettes/additional_examples.html,https://cran.r-project.org/web/packages/canvasXpress/vignettes/additional_examples.html,727,NA
canvasXpress,1,vignettes/getting_started.html,https://cran.r-project.org/web/packages/canvasXpress/vignettes/getting_started.html,562,NA
divest,0,NA,NA,NA,NA
FRegSigCom,0,NA,NA,NA,NA
hommel,0,NA,NA,NA,NA
pkggraph,1,vignettes/vignette_pkggraph.html,https://cran.r-project.org/web/packages/pkggraph/vignettes/vignette_pkggraph.html,615,NA
POUMM,1,vignettes/InterpretingPOUMM.html,https://cran.r-project.org/web/packages/POUMM/vignettes/InterpretingPOUMM.html,1668,NA
POUMM,1,vignettes/UserGuide.html,https://cran.r-project.org/web/packages/POUMM/vignettes/UserGuide.html,1646,NA
Rdimtools,0,NA,NA,NA,NA
wrapr,1,vignettes/CornerCases.html,https://cran.r-project.org/web/packages/wrapr/vignettes/CornerCases.html,103,NA
wrapr,1,vignettes/DebugFnW.html,https://cran.r-project.org/web/packages/wrapr/vignettes/DebugFnW.html,534,NA
wrapr,1,vignettes/FrameTools.html,https://cran.r-project.org/web/packages/wrapr/vignettes/FrameTools.html,308,NA
wrapr,1,vignettes/Named_Arguments.html,https://cran.r-project.org/web/packages/wrapr/vignettes/Named_Arguments.html,266,NA
wrapr,1,vignettes/QuotingConcatinate.html,https://cran.r-project.org/web/packages/wrapr/vignettes/QuotingConcatinate.html,370,NA
wrapr,1,vignettes/SubstitutionModes.html,https://cran.r-project.org/web/packages/wrapr/vignettes/SubstitutionModes.html,271,NA
wrapr,1,vignettes/dot_pipe.html,https://cran.r-project.org/web/packages/wrapr/vignettes/dot_pipe.html,125,NA
wrapr,1,vignettes/lambda.html,https://cran.r-project.org/web/packages/wrapr/vignettes/lambda.html,148,NA
wrapr,1,vignettes/let.html,https://cran.r-project.org/web/packages/wrapr/vignettes/let.html,374,NA
wrapr,1,vignettes/named_map_builder.html,https://cran.r-project.org/web/packages/wrapr/vignettes/named_map_builder.html,158,NA
wrapr,1,vignettes/wrapr_applicable.html,https://cran.r-project.org/web/packages/wrapr/vignettes/wrapr_applicable.html,329,NA
wrapr,1,vignettes/wrapr_let.pdf,https://cran.r-project.org/web/packages/wrapr/vignettes/wrapr_let.pdf,2607,NA
wrapr,1,vignettes/wrapr_pipe.pdf,https://cran.r-project.org/web/packages/wrapr/vignettes/wrapr_pipe.pdf,2279,NA
DescToolsAddIns,0,NA,NA,NA,NA
giphyr,0,NA,NA,NA,NA
GJRM,0,NA,NA,NA,NA
LNIRT,0,NA,NA,NA,NA
mnreadR,0,NA,NA,NA,NA
palm,0,NA,NA,NA,NA
personalized,1,vignettes/usage_of_the_personalized_package.html,https://cran.r-project.org/web/packages/personalized/vignettes/usage_of_the_personalized_package.html,3954,NA
configr,1,vignettes/configr.html,https://cran.r-project.org/web/packages/configr/vignettes/configr.html,1888,NA
configr,1,vignettes/filetypes.html,https://cran.r-project.org/web/packages/configr/vignettes/filetypes.html,99,NA
dimRed,1,vignettes/dimensionality-reduction.pdf,https://cran.r-project.org/web/packages/dimRed/vignettes/dimensionality-reduction.pdf,6754,NA
helixvis,1,vignettes/intro.html,https://cran.r-project.org/web/packages/helixvis/vignettes/intro.html,365,NA
skpr,0,NA,NA,NA,NA
sys,0,NA,NA,NA,NA
fastLink,0,NA,NA,NA,NA
fingertipsR,1,vignettes/lifeExpectancy.html,https://cran.r-project.org/web/packages/fingertipsR/vignettes/lifeExpectancy.html,843,NA
fingertipsR,1,vignettes/selectIndicatorsRedRed.html,https://cran.r-project.org/web/packages/fingertipsR/vignettes/selectIndicatorsRedRed.html,229,NA
FSelectorRcpp,1,vignettes/benchmarks_discretize.html,https://cran.r-project.org/web/packages/FSelectorRcpp/vignettes/benchmarks_discretize.html,762,NA
FSelectorRcpp,1,vignettes/get_started.html,https://cran.r-project.org/web/packages/FSelectorRcpp/vignettes/get_started.html,1104,NA
FSelectorRcpp,1,vignettes/integer-variables.html,https://cran.r-project.org/web/packages/FSelectorRcpp/vignettes/integer-variables.html,479,NA
reqres,0,NA,NA,NA,NA
STARTS,0,NA,NA,NA,NA
AMCTestmakeR,1,vignettes/AMCTestmaker.html,https://cran.r-project.org/web/packages/AMCTestmakeR/vignettes/AMCTestmaker.html,998,NA
nandb,1,vignettes/batch-mode.html,https://cran.r-project.org/web/packages/nandb/vignettes/batch-mode.html,187,NA
nandb,1,vignettes/brightness-timeseries.html,https://cran.r-project.org/web/packages/nandb/vignettes/brightness-timeseries.html,108,NA
nandb,1,vignettes/single-images.html,https://cran.r-project.org/web/packages/nandb/vignettes/single-images.html,598,NA
Rcrawler,0,NA,NA,NA,NA
reportReg,0,NA,NA,NA,NA
aphid,1,vignettes/aphid-vignette.html,https://cran.r-project.org/web/packages/aphid/vignettes/aphid-vignette.html,2518,NA
gastempt,1,vignettes/gastempt.html,https://cran.r-project.org/web/packages/gastempt/vignettes/gastempt.html,1,NA
antiword,0,NA,NA,NA,NA
arsenal,1,vignettes/compare.html,https://cran.r-project.org/web/packages/arsenal/vignettes/compare.html,1351,NA
arsenal,1,vignettes/freqlist.html,https://cran.r-project.org/web/packages/arsenal/vignettes/freqlist.html,1156,NA
arsenal,1,vignettes/labels.html,https://cran.r-project.org/web/packages/arsenal/vignettes/labels.html,394,NA
arsenal,1,vignettes/modelsum.html,https://cran.r-project.org/web/packages/arsenal/vignettes/modelsum.html,5053,NA
arsenal,1,vignettes/paired.html,https://cran.r-project.org/web/packages/arsenal/vignettes/paired.html,365,NA
arsenal,1,vignettes/tableby.html,https://cran.r-project.org/web/packages/arsenal/vignettes/tableby.html,3436,NA
arsenal,1,vignettes/write2.html,https://cran.r-project.org/web/packages/arsenal/vignettes/write2.html,1469,NA
dtangle,1,vignettes/basic-deconvolution.html,https://cran.r-project.org/web/packages/dtangle/vignettes/basic-deconvolution.html,1018,NA
httptest,1,vignettes/httptest.html,https://cran.r-project.org/web/packages/httptest/vignettes/httptest.html,2460,NA
httptest,1,vignettes/redacting.html,https://cran.r-project.org/web/packages/httptest/vignettes/redacting.html,1187,NA
httptest,1,vignettes/vignettes.html,https://cran.r-project.org/web/packages/httptest/vignettes/vignettes.html,902,NA
idefix,0,NA,NA,NA,NA
MALDIrppa,1,vignettes/MALDIrppa_vignette.html,https://cran.r-project.org/web/packages/MALDIrppa/vignettes/MALDIrppa_vignette.html,2958,NA
quickPlot,1,vignettes/iii-plotting.html,https://cran.r-project.org/web/packages/quickPlot/vignettes/iii-plotting.html,2779,NA
survHE,0,NA,NA,NA,NA
unrtf,0,NA,NA,NA,NA
walker,1,vignettes/walker.html,https://cran.r-project.org/web/packages/walker/vignettes/walker.html,1401,NA
MADPop,1,vignettes/MADPop-quicktut.html,https://cran.r-project.org/web/packages/MADPop/vignettes/MADPop-quicktut.html,1771,NA
memapp,0,NA,NA,NA,NA
breathteststan,0,NA,NA,NA,NA
elasticsearchr,1,vignettes/quick_start.html,https://cran.r-project.org/web/packages/elasticsearchr/vignettes/quick_start.html,1316,NA
exampletestr,1,vignettes/one-file-at-a-time.html,https://cran.r-project.org/web/packages/exampletestr/vignettes/one-file-at-a-time.html,376,NA
exampletestr,1,vignettes/one-function-at-a-time.html,https://cran.r-project.org/web/packages/exampletestr/vignettes/one-function-at-a-time.html,375,NA
exampletestr,1,vignettes/whole-package.html,https://cran.r-project.org/web/packages/exampletestr/vignettes/whole-package.html,390,NA
gggenes,1,vignettes/introduction-to-gggenes.html,https://cran.r-project.org/web/packages/gggenes/vignettes/introduction-to-gggenes.html,509,NA
huxtable,1,vignettes/design-principles.html,https://cran.r-project.org/web/packages/huxtable/vignettes/design-principles.html,431,NA
huxtable,1,vignettes/huxreg.html,https://cran.r-project.org/web/packages/huxtable/vignettes/huxreg.html,576,NA
huxtable,1,vignettes/huxtable.html,https://cran.r-project.org/web/packages/huxtable/vignettes/huxtable.html,1862,NA
huxtable,1,vignettes/themes.html,https://cran.r-project.org/web/packages/huxtable/vignettes/themes.html,14,NA
worrms,1,vignettes/worrms_vignette.html,https://cran.r-project.org/web/packages/worrms/vignettes/worrms_vignette.html,636,NA
mdmb,0,NA,NA,NA,NA
webmockr,0,NA,NA,NA,NA
WVPlots,1,vignettes/WVPlots_concept.html,https://cran.r-project.org/web/packages/WVPlots/vignettes/WVPlots_concept.html,461,NA
WVPlots,1,vignettes/WVPlots_examples.html,https://cran.r-project.org/web/packages/WVPlots/vignettes/WVPlots_examples.html,1268,NA
augSIMEX,0,NA,NA,NA,NA
autothresholdr,1,vignettes/finding-thresholds.html,https://cran.r-project.org/web/packages/autothresholdr/vignettes/finding-thresholds.html,367,NA
autothresholdr,1,vignettes/thresholding-image-stacks.html,https://cran.r-project.org/web/packages/autothresholdr/vignettes/thresholding-image-stacks.html,441,NA
autothresholdr,1,vignettes/thresholding-images.html,https://cran.r-project.org/web/packages/autothresholdr/vignettes/thresholding-images.html,246,NA
eulerr,1,vignettes/introduction.html,https://cran.r-project.org/web/packages/eulerr/vignettes/introduction.html,663,NA
eulerr,1,vignettes/under-the-hood.html,https://cran.r-project.org/web/packages/eulerr/vignettes/under-the-hood.html,1749,NA
eulerr,1,vignettes/visualization.html,https://cran.r-project.org/web/packages/eulerr/vignettes/visualization.html,436,NA
jmvcore,0,NA,NA,NA,NA
semtree,0,NA,NA,NA,NA
sessioninfo,0,NA,NA,NA,NA
shinyWidgets,0,NA,NA,NA,NA
spant,1,vignettes/spant-intro.html,https://cran.r-project.org/web/packages/spant/vignettes/spant-intro.html,148,NA
KarsTS,0,NA,NA,NA,NA
sigr,1,vignettes/lmExample.html,https://cran.r-project.org/web/packages/sigr/vignettes/lmExample.html,58,NA
sigr,1,vignettes/sigrFormatting.html,https://cran.r-project.org/web/packages/sigr/vignettes/sigrFormatting.html,263,NA
egg,1,vignettes/Ecosystem.html,https://cran.r-project.org/web/packages/egg/vignettes/Ecosystem.html,1233,NA
egg,1,vignettes/Overview.html,https://cran.r-project.org/web/packages/egg/vignettes/Overview.html,867,NA
numform,0,NA,NA,NA,NA
owmr,0,NA,NA,NA,NA
tidyRSS,1,vignettes/tidyrss.html,https://cran.r-project.org/web/packages/tidyRSS/vignettes/tidyrss.html,190,NA
dexter,1,vignettes/Equating.html,https://cran.r-project.org/web/packages/dexter/vignettes/Equating.html,1394,NA
dexter,1,vignettes/Plausible_Values.html,https://cran.r-project.org/web/packages/dexter/vignettes/Plausible_Values.html,985,NA
dexter,1,vignettes/Test_Individual_differences.html,https://cran.r-project.org/web/packages/dexter/vignettes/Test_Individual_differences.html,459,NA
dexter,1,vignettes/data_management.html,https://cran.r-project.org/web/packages/dexter/vignettes/data_management.html,1077,NA
dexter,1,vignettes/dexter.html,https://cran.r-project.org/web/packages/dexter/vignettes/dexter.html,1808,NA
dexter,1,vignettes/profile-plots.html,https://cran.r-project.org/web/packages/dexter/vignettes/profile-plots.html,569,NA
redlistr,1,vignettes/iteration-vignette.html,https://cran.r-project.org/web/packages/redlistr/vignettes/iteration-vignette.html,1015,NA
redlistr,1,vignettes/redlistr-vignette.html,https://cran.r-project.org/web/packages/redlistr/vignettes/redlistr-vignette.html,1697,NA
tesseract,1,vignettes/intro.html,https://cran.r-project.org/web/packages/tesseract/vignettes/intro.html,452,NA
VARtests,0,NA,NA,NA,NA
hutils,1,vignettes/hutils.html,https://cran.r-project.org/web/packages/hutils/vignettes/hutils.html,1724,NA
incidence,1,vignettes/conversions.html,https://cran.r-project.org/web/packages/incidence/vignettes/conversions.html,835,NA
incidence,1,vignettes/customize_plot.html,https://cran.r-project.org/web/packages/incidence/vignettes/customize_plot.html,1007,NA
incidence,1,vignettes/incidence_class.html,https://cran.r-project.org/web/packages/incidence/vignettes/incidence_class.html,925,NA
incidence,1,vignettes/incidence_fit_class.html,https://cran.r-project.org/web/packages/incidence/vignettes/incidence_fit_class.html,2282,NA
incidence,1,vignettes/overview.html,https://cran.r-project.org/web/packages/incidence/vignettes/overview.html,1891,NA
automultinomial,1,vignettes/vignette.pdf,https://cran.r-project.org/web/packages/automultinomial/vignettes/vignette.pdf,2311,NA
flextable,1,vignettes/examples.html,https://cran.r-project.org/web/packages/flextable/vignettes/examples.html,712,NA
flextable,1,vignettes/format.html,https://cran.r-project.org/web/packages/flextable/vignettes/format.html,1574,NA
flextable,1,vignettes/layout.html,https://cran.r-project.org/web/packages/flextable/vignettes/layout.html,918,NA
flextable,1,vignettes/overview.html,https://cran.r-project.org/web/packages/flextable/vignettes/overview.html,896,NA
gibble,0,NA,NA,NA,NA
mvord,1,vignettes/vignette_mvord2.html,https://cran.r-project.org/web/packages/mvord/vignettes/vignette_mvord2.html,538,NA
mvord,1,vignettes/vignette_mvord.pdf,https://cran.r-project.org/web/packages/mvord/vignettes/vignette_mvord.pdf,11108,NA
RATest,1,vignettes/RDperm.pdf,https://cran.r-project.org/web/packages/RATest/vignettes/RDperm.pdf,2724,NA
restriktor,0,NA,NA,NA,NA
shallot,0,NA,NA,NA,NA
spatstat.utils,0,NA,NA,NA,NA
AMModels,1,vignettes/AMModelsCheatSheet.pdf,https://cran.r-project.org/web/packages/AMModels/vignettes/AMModelsCheatSheet.pdf,427,NA
AMModels,1,vignettes/journal.pone.0188966.pdf,https://cran.r-project.org/web/packages/AMModels/vignettes/journal.pone.0188966.pdf,11503,NA
cpt,0,NA,NA,NA,NA
filesstrings,1,vignettes/files.html,https://cran.r-project.org/web/packages/filesstrings/vignettes/files.html,215,NA
GDINA,1,vignettes/GDINA.html,https://cran.r-project.org/web/packages/GDINA/vignettes/GDINA.html,17,NA
greta,1,vignettes/example_models.html,https://cran.r-project.org/web/packages/greta/vignettes/example_models.html,2696,NA
greta,1,vignettes/get_started.html,https://cran.r-project.org/web/packages/greta/vignettes/get_started.html,2648,NA
lemon,1,vignettes/capped-axes.html,https://cran.r-project.org/web/packages/lemon/vignettes/capped-axes.html,673,NA
lemon,1,vignettes/facet-rep-labels.html,https://cran.r-project.org/web/packages/lemon/vignettes/facet-rep-labels.html,268,NA
lemon,1,vignettes/geoms.html,https://cran.r-project.org/web/packages/lemon/vignettes/geoms.html,72,NA
lemon,1,vignettes/gtable_show_lemonade.html,https://cran.r-project.org/web/packages/lemon/vignettes/gtable_show_lemonade.html,243,NA
lemon,1,vignettes/legends.html,https://cran.r-project.org/web/packages/lemon/vignettes/legends.html,796,NA
lemon,1,vignettes/lemon_print.html,https://cran.r-project.org/web/packages/lemon/vignettes/lemon_print.html,226,NA
vennLasso,1,vignettes/using_the_vennLasso_package.pdf,https://cran.r-project.org/web/packages/vennLasso/vignettes/using_the_vennLasso_package.pdf,1142,NA
rsparkling,0,NA,NA,NA,NA
strip,0,NA,NA,NA,NA
atus,0,NA,NA,NA,NA
ebimetagenomics,0,NA,NA,NA,NA
spectrolab,1,vignettes/advanced_spectrolab.pdf,https://cran.r-project.org/web/packages/spectrolab/vignettes/advanced_spectrolab.pdf,349,NA
spectrolab,1,vignettes/introduction_to_spectrolab.pdf,https://cran.r-project.org/web/packages/spectrolab/vignettes/introduction_to_spectrolab.pdf,1271,NA
spectrolab,1,vignettes/match_sensors.pdf,https://cran.r-project.org/web/packages/spectrolab/vignettes/match_sensors.pdf,288,NA
sugrrants,1,vignettes/frame-calendar.html,https://cran.r-project.org/web/packages/sugrrants/vignettes/frame-calendar.html,1228,NA
uavRmp,1,vignettes/uavRmp_1.pdf,https://cran.r-project.org/web/packages/uavRmp/vignettes/uavRmp_1.pdf,2331,NA
vistime,0,NA,NA,NA,NA
ggspatial,1,vignettes/ggspatial.html,https://cran.r-project.org/web/packages/ggspatial/vignettes/ggspatial.html,642,NA
BayesS5,0,NA,NA,NA,NA
commonsMath,1,vignettes/commonsMath.html,https://cran.r-project.org/web/packages/commonsMath/vignettes/commonsMath.html,156,NA
drake,1,vignettes/drake.html,https://cran.r-project.org/web/packages/drake/vignettes/drake.html,207,NA
latexpdf,1,vignettes/tabular.pdf,https://cran.r-project.org/web/packages/latexpdf/vignettes/tabular.pdf,306,NA
link2GI,1,vignettes/link2GI1.html,https://cran.r-project.org/web/packages/link2GI/vignettes/link2GI1.html,2093,NA
electoral,0,NA,NA,NA,NA
JuliaCall,1,vignettes/JuliaCall_in_Jupyter_R_Notebook.html,https://cran.r-project.org/web/packages/JuliaCall/vignettes/JuliaCall_in_Jupyter_R_Notebook.html,31,NA
JuliaCall,1,vignettes/Julia_in_RMarkdown.html,https://cran.r-project.org/web/packages/JuliaCall/vignettes/Julia_in_RMarkdown.html,80,NA
microdemic,0,NA,NA,NA,NA
MODIS,0,NA,NA,NA,NA
PhenotypeSimulator,1,vignettes/PhenotypeSimulator.pdf,https://cran.r-project.org/web/packages/PhenotypeSimulator/vignettes/PhenotypeSimulator.pdf,2718,NA
PhenotypeSimulator,1,vignettes/Sample-scripts-external-genotype-simulation.pdf,https://cran.r-project.org/web/packages/PhenotypeSimulator/vignettes/Sample-scripts-external-genotype-simulation.pdf,579,NA
PhenotypeSimulator,1,vignettes/Simulation-and-LinearModel.pdf,https://cran.r-project.org/web/packages/PhenotypeSimulator/vignettes/Simulation-and-LinearModel.pdf,2098,NA
reactR,1,vignettes/intro_reactR.html,https://cran.r-project.org/web/packages/reactR/vignettes/intro_reactR.html,101,NA
rlang,0,NA,NA,NA,NA
rlas,0,NA,NA,NA,NA
sitree,1,vignettes/TestEquations.html,https://cran.r-project.org/web/packages/sitree/vignettes/TestEquations.html,1220,NA
solvebio,0,NA,NA,NA,NA
texPreview,1,vignettes/tests_and_coverage.html,https://cran.r-project.org/web/packages/texPreview/vignettes/tests_and_coverage.html,25,NA
CrossVA,0,NA,NA,NA,NA
d3r,0,NA,NA,NA,NA
dodgr,1,vignettes/benchmark.html,https://cran.r-project.org/web/packages/dodgr/vignettes/benchmark.html,432,NA
dodgr,1,vignettes/dodgr.html,https://cran.r-project.org/web/packages/dodgr/vignettes/dodgr.html,3144,NA
mmpf,1,vignettes/mmpf.html,https://cran.r-project.org/web/packages/mmpf/vignettes/mmpf.html,679,NA
mvLSW,0,NA,NA,NA,NA
NetworkInference,1,vignettes/quickstart_vignette.html,https://cran.r-project.org/web/packages/NetworkInference/vignettes/quickstart_vignette.html,143,NA
NetworkInference,1,vignettes/tutorial_vignette.html,https://cran.r-project.org/web/packages/NetworkInference/vignettes/tutorial_vignette.html,1631,NA
rsMove,1,vignettes/resource_suitability.html,https://cran.r-project.org/web/packages/rsMove/vignettes/resource_suitability.html,1326,NA
rWind,1,vignettes/Shortest_paths.html,https://cran.r-project.org/web/packages/rWind/vignettes/Shortest_paths.html,397,NA
sf,1,vignettes/sf1.html,https://cran.r-project.org/web/packages/sf/vignettes/sf1.html,3353,NA
sf,1,vignettes/sf2.html,https://cran.r-project.org/web/packages/sf/vignettes/sf2.html,1053,NA
sf,1,vignettes/sf3.html,https://cran.r-project.org/web/packages/sf/vignettes/sf3.html,1239,NA
sf,1,vignettes/sf4.html,https://cran.r-project.org/web/packages/sf/vignettes/sf4.html,850,NA
sf,1,vignettes/sf5.html,https://cran.r-project.org/web/packages/sf/vignettes/sf5.html,961,NA
sf,1,vignettes/sf6.html,https://cran.r-project.org/web/packages/sf/vignettes/sf6.html,491,NA
taskscheduleR,1,vignettes/taskscheduleR.html,https://cran.r-project.org/web/packages/taskscheduleR/vignettes/taskscheduleR.html,427,NA
trackdem,1,vignettes/tutorial.pdf,https://cran.r-project.org/web/packages/trackdem/vignettes/tutorial.pdf,3715,NA
blogdown,0,NA,NA,NA,NA
DEploid,1,vignettes/dEploid-Arguments.html,https://cran.r-project.org/web/packages/DEploid/vignettes/dEploid-Arguments.html,503,NA
isdparser,1,vignettes/isdparser_vignette.html,https://cran.r-project.org/web/packages/isdparser/vignettes/isdparser_vignette.html,498,NA
websearchr,0,NA,NA,NA,NA
xaringan,1,vignettes/intro-en_US.html,https://cran.r-project.org/web/packages/xaringan/vignettes/intro-en_US.html,1,NA
xaringan,1,vignettes/intro-zh_CN.html,https://cran.r-project.org/web/packages/xaringan/vignettes/intro-zh_CN.html,1,NA
bikedata,1,vignettes/bikedata.html,https://cran.r-project.org/web/packages/bikedata/vignettes/bikedata.html,2870,NA
dLagM,0,NA,NA,NA,NA
dynamichazard,1,vignettes/Comparing_methods_for_logistic_models.pdf,https://cran.r-project.org/web/packages/dynamichazard/vignettes/Comparing_methods_for_logistic_models.pdf,2957,NA
dynamichazard,1,vignettes/Diagnostics.pdf,https://cran.r-project.org/web/packages/dynamichazard/vignettes/Diagnostics.pdf,2751,NA
dynamichazard,1,vignettes/ddhazard.pdf,https://cran.r-project.org/web/packages/dynamichazard/vignettes/ddhazard.pdf,6292,NA
dynamichazard,1,vignettes/Bootstrap_illustration.pdf,https://cran.r-project.org/web/packages/dynamichazard/vignettes/Bootstrap_illustration.pdf,1529,NA
dynamichazard,1,vignettes/Particle_filtering.pdf,https://cran.r-project.org/web/packages/dynamichazard/vignettes/Particle_filtering.pdf,3359,NA
FishResp,0,NA,NA,NA,NA
meteoland,1,vignettes/Meteorology.pdf,https://cran.r-project.org/web/packages/meteoland/vignettes/Meteorology.pdf,6604,NA
meteoland,1,vignettes/UserGuide.html,https://cran.r-project.org/web/packages/meteoland/vignettes/UserGuide.html,3011,NA
osmdata,1,vignettes/osm-sf-translation.html,https://cran.r-project.org/web/packages/osmdata/vignettes/osm-sf-translation.html,1528,NA
osmdata,1,vignettes/osmdata.html,https://cran.r-project.org/web/packages/osmdata/vignettes/osmdata.html,3109,NA
bridgesampling,1,vignettes/bridgesampling_example_jags.html,https://cran.r-project.org/web/packages/bridgesampling/vignettes/bridgesampling_example_jags.html,1324,NA
bridgesampling,1,vignettes/bridgesampling_example_nimble.html,https://cran.r-project.org/web/packages/bridgesampling/vignettes/bridgesampling_example_nimble.html,861,NA
bridgesampling,1,vignettes/bridgesampling_example_stan.html,https://cran.r-project.org/web/packages/bridgesampling/vignettes/bridgesampling_example_stan.html,843,NA
bridgesampling,1,vignettes/bridgesampling_stan_ttest.html,https://cran.r-project.org/web/packages/bridgesampling/vignettes/bridgesampling_stan_ttest.html,1010,NA
bridgesampling,1,vignettes/bridgesampling_paper.pdf,https://cran.r-project.org/web/packages/bridgesampling/vignettes/bridgesampling_paper.pdf,8436,NA
bridgesampling,1,vignettes/bridgesampling_paper_extended.pdf,https://cran.r-project.org/web/packages/bridgesampling/vignettes/bridgesampling_paper_extended.pdf,8169,NA
bridgesampling,1,vignettes/bridgesampling_tutorial.pdf,https://cran.r-project.org/web/packages/bridgesampling/vignettes/bridgesampling_tutorial.pdf,10910,NA
cdata,1,vignettes/cdata.html,https://cran.r-project.org/web/packages/cdata/vignettes/cdata.html,164,NA
RApiDatetime,0,NA,NA,NA,NA
lexicon,0,NA,NA,NA,NA
ciTools,1,vignettes/ciTools-binomial-vignette.html,https://cran.r-project.org/web/packages/ciTools/vignettes/ciTools-binomial-vignette.html,765,NA
ciTools,1,vignettes/ciTools-demo.html,https://cran.r-project.org/web/packages/ciTools/vignettes/ciTools-demo.html,1244,NA
ciTools,1,vignettes/ciTools-glm-vignette.html,https://cran.r-project.org/web/packages/ciTools/vignettes/ciTools-glm-vignette.html,2558,NA
ciTools,1,vignettes/citools-merMod-vignette.html,https://cran.r-project.org/web/packages/ciTools/vignettes/citools-merMod-vignette.html,3056,NA
poliscidata,0,NA,NA,NA,NA
webTRISr,0,NA,NA,NA,NA
