"","pkg_name","title","pkg_ver","license","roxygen","n_depends","rversion"
"latexpdf","latexpdf","Convert Tables to PDF","0.1.2","GPL-3","6.0.1",0,NA
"link2GI","link2GI","Linking GIS, Remote Sensing and Other Command Line Tools","0.1-0","GPL (>= 3) | file LICENSE","5.0.1",10,">= 2.10"
"electoral","electoral","Allocating Seats Methods and Party System Scores","0.1.0","GPL-3","6.0.1",3,NA
"JuliaCall","JuliaCall","Seamless Integration Between R and 'Julia'","0.7.3","MIT + file LICENSE","6.0.1",3,">= 3.2.0"
"microdemic","microdemic","'Microsoft Academic' API Client","0.1.0","MIT + file LICENSE","6.0.1",6,NA
"MODIS","MODIS","Acquisition and Processing of MODIS Products","1.0.0","GPL (>= 3) | file LICENSE","5.0.1",16,">= 2.10"
"PhenotypeSimulator","PhenotypeSimulator","Flexible Phenotype Simulation from Different Genetic and Noise","0.1.1","MIT + file LICENSE","6.0.1",11,">= 3.3.2"
"reactR","reactR","React Helpers","0.1.0","BSD_3_clause + file LICENSE","5.0.1",6,NA
"rlang","rlang","Functions for Base Types and Core R and 'Tidyverse' Features","0.1.1","GPL-3","6.0.1",4,">= 3.1.0"
"rlas","rlas","Read and Write 'las' and 'laz' Binary File Formats","1.0.2","GPL-3","5.0.1",3,">= 3.0.0"
"sitree","sitree","Single Tree Simulator","0.1-0","GPL (>= 2)",NA,4,">= 3.1.0"
"solvebio","solvebio","The Official SolveBio API Client for R","0.1.3","MIT + file LICENSE","5.0.1",2,NA
"texPreview","texPreview","Compile and Preview Snippets of 'LaTeX' in 'RStudio'","1.0.0","GPL-2 | GPL-3","6.0.1",8,">= 2.3.0"
"CrossVA","CrossVA","Verbal Autopsy Data Transform for Use with Various Coding","0.9.0","GPL-2","5.0.1",1,">= 3.2.0"
"d3r","d3r","'d3.js' Utilities for R","0.4.0","BSD_3_clause + file LICENSE","5.0.1",12,NA
"dodgr","dodgr","Distances on Directed Graphs","0.0.1","GPL-3","6.0.1",17,">= 3.2.0"
"mmpf","mmpf","Monte-Carlo Methods for Prediction Functions","0.0.1","MIT + file LICENSE","5.0.1",5,NA
"mvLSW","mvLSW","Multivariate Locally Stationary Wavelet Analysis","1.0","GPL (>= 3)",NA,2,">= 3.2"
"NetworkInference","NetworkInference","Inferring Latent Diffusion Networks","1.0.0","MIT + file LICENSE","6.0.1",13,NA
"rsMove","rsMove","Remote Sensing for Movement Ecology","0.1","GPL (>= 2)","6.0.1",5,NA
"rWind","rWind","Download, Edit and Transform Wind Data from GFS","0.1.3","GPL (>= 3)",NA,2,">= 2.10"
"sf","sf","Simple Features for R","0.2-0","GPL-2 | MIT + file LICENSE","5.0.1",15,">= 3.0.0"
"taskscheduleR","taskscheduleR","Schedule R Scripts and Processes with the Windows Task Scheduler","1.0","AGPL-3","5.0.1",6,NA
"trackdem","trackdem","Particle Tracking and Demography","0.1","GPL-2","6.0.1",11,NA
"blogdown","blogdown","Create Blogs and Websites with R Markdown","0.1","GPL-3","6.0.1",17,NA
"DEploid","DEploid","Deconvolute Mixed Genomes with Unknown Proportions","0.3.2","GPL (>= 3)","5.0.1",5,">= 3.1.0"
"isdparser","isdparser","Parse 'NOAA' Integrated Surface Data Files","0.1.0","MIT + file LICENSE","5.0.1",7,NA
"websearchr","websearchr","Access Domains and Search Popular Websites","0.0.1","MIT + file LICENSE","6.0.1",3,">= 3.4.1"
"xaringan","xaringan","Presentation Ninja","0.1","MIT + file LICENSE","5.0.1",6,NA
"bikedata","bikedata","Download and Aggregate Data from Public Hire Bicycle Systems","0.0.1","GPL-3","6.0.1",15,">= 3.0"
"dLagM","dLagM","Time Series Regression Models with Distributed Lag Models","0.0.7","GPL-3","6.0.1",5,NA
"dynamichazard","dynamichazard","Dynamic Hazard Models using State Space Models","0.1.0","GPL-2","5.0.1",19,NA
"FishResp","FishResp","An Analytical Tool for Aquatic Respirometry","0.1.0","GPL-3","6.0.1",2,">= 3.0.0"
"meteoland","meteoland","Landscape Meteorology Tools","0.4.3","GPL (>= 2)",NA,9,">= 2.10"
"osmdata","osmdata","Import OpenStreetMap Data as Simple Features or Spatial Objects","0.0.0","GPL-3","6.0.1",18,">= 3.2.4"
"bridgesampling","bridgesampling","Bridge Sampling for Marginal Likelihoods and Bayes Factors","0.1-1","GPL (>= 2)","6.0.1",14,">= 3.0.0"
"cdata","cdata","spread()'","0.1.0","GPL-3","6.0.1",8,NA
"RApiDatetime","RApiDatetime","R API Datetime","0.0.1","GPL (>= 2)","6.0.1",0,NA
"lexicon","lexicon","Lexicons","0.0.1","MIT + file LICENSE","5.0.1",0,">= 3.2.2"
"ciTools","ciTools","Confidence or Prediction Intervals, Quantiles, and Probabilities","0.1.0","GPL (>= 3)","6.0.1",8,NA
"poliscidata","poliscidata","Datasets and Functions Featured in Pollock and Edwards R","1.2.0","CC0","5.0.1",17,">= 2.10"
"webTRISr","webTRISr","A Wrapper Around 'WebTRIS' Traffic Flow API from Highways","0.1.0","GPL-3","6.0.1",11,NA
"wikitaxa","wikitaxa","Taxonomic Information from 'Wikipedia'","0.1.0","MIT + file LICENSE","6.0.1",11,">= 3.2.1"
"xtensor","xtensor","Headers for the 'xtensor' Library","0.1.0-0","BSD_3_clause + file LICENSE",NA,2,NA
"antaresRead","antaresRead","Import, Manipulate and Explore the Results of an Antares","1.1.1","GPL (>= 2) | file LICENSE","6.0.0",9,NA
"bsplinePsd","bsplinePsd","Bayesian Nonparametric Spectral Density Estimation Using","0.1.0","GPL (>= 3)","6.0.1",3,NA
"charlatan","charlatan","Make Fake Data","0.1.0","MIT + file LICENSE","6.0.1",7,NA
"evaluator","evaluator","Information Security Quantified Risk Assessment Toolkit","0.1.0","MIT + file LICENSE","6.0.1",24,">= 3.3.2"
"hNMF","hNMF","Hierarchical Non-Negative Matrix Factorization","0.2","GPL-3","6.0.0",11,">= 3.3.2"
"PowerUpR","PowerUpR","Power Analysis Tools for Individual/Cluster Randomized Trials","0.1.2","GPL (>= 3)",NA,1,NA
"PWEALL","PWEALL","Design and Monitoring of Survival Trials Accounting for Complex","1.0.0","GPL (>= 2)","5.0.1",2,">= 3.1.2"
"sdpt3r","sdpt3r","Semi-Definite Quadratic Linear Programming Solver","0.1","GPL-2 | GPL-3","5.0.1",3,">= 2.10"
"BimodalIndex","BimodalIndex","The Bimodality Index","1.1.5","Apache License (== 2.0)",NA,3,">= 3.0"
"breathtestcore","breathtestcore","Core Functions to Read and Fit 13c Time Series from Breath Tests","0.3.0","GPL-3","6.0.1",17,">= 3.4.0"
"clickR","clickR","Fix Data and Create Report Tables from Different Objects","0.1.8","GPL (>= 2)","5.0.1",9,NA
"dataPreparation","dataPreparation","Automated Data Preparation","0.1","GPL-3 | file LICENSE","6.0.1",8,">= 3.3.0"
"fergm","fergm","Estimation and Fit Assessment of Frailty Exponential Random","0.2.0","GPL-3","6.0.1.9000",14,">= 3.3.3"
"GenAlgo","GenAlgo","Classes and Methods to Use Genetic Algorithms for Feature","2.1.3","Apache License (== 2.0)",NA,7,">= 3.0"
"pinyin","pinyin","Convert Chinese Characters into Pinyin","1.0.2","GPL","6.0.1",0,">= 3.1.0"
"pivottabler","pivottabler","Create Pivot Tables in R","0.1.0","GPL-3","6.0.1",12,">= 3.2.0"
"bcROCsurface","bcROCsurface","Bias-Corrected Methods for Estimating the ROC Surface of","1.0-1","GPL (>= 2)","5.0.1",12,">= 2.15.0"
"bookdownplus","bookdownplus","Generate Varied Books and Documents with R 'bookdown' Package","1.0.2","GPL","6.0.1",3,">= 3.1.0"
"grattan","grattan","Perform Common Quantitative Tasks for Australian Analysts and to","1.3.0.3","GPL-2","5.0.1",23,">= 2.10"
"queuecomputer","queuecomputer","Computationally Efficient Queue Simulation","0.5.1","GPL (>= 2)","5.0.1.9000",10,">= 3.3.1"
"cosinor2","cosinor2","Extended Tools for Cosinor Analysis of Rhythms","0.1.0","GPL-3","6.0.1",4,">= 2.10"
"crminer","crminer","Fetch 'Scholary' Full Text from 'Crossref'","0.1.0","MIT + file LICENSE","6.0.1",8,NA
"define","define","Create FDA-Style Data and Program Definitions","0.2.5","GPL-3","6.0.1",5,NA
"dendroTools","dendroTools","Nonlinear Methods for Analyzing Dendroclimatological Data","0.0.3","GPL-3","6.0.1",14,">= 3.4"
"dslabs","dslabs","Data Science Labs","0.0.1","Artistic-2.0","5.0.1",0,">= 3.3.1"
"readJDX","readJDX","Import Data in the JCAMP-DX Format","0.2.3","GPL (>= 3)","5.0.1",2,">= 3.0"
"stormwindmodel","stormwindmodel","Model Tropical Cyclone Wind Speeds","0.1.0","GPL-2","5.0.1",16,">= 2.10"
"analytics","analytics","Regression Outlier Detection and Other Tools for Data Analysis","1.0","GPL-2","5.0.1",4,">= 3.1.0"
"touch","touch","Tools of Utilization and Cost in Healthcare","0.1-3","GPL (>= 3)","5.0.1",1,">= 3.2.0"
"GSED","GSED","Group Sequential Enrichment Design","1.0","GPL-3",NA,3,">= 3.1.2"
"hoardr","hoardr","Manage Cached Files","0.1.0","MIT + file LICENSE","6.0.1",6,NA
"psychmeta","psychmeta","Psychometric Meta-Analysis Toolkit","0.1.0","GPL (>= 3)","6.0.1",9,NA
"Rnightlights","Rnightlights","Satellite Nightlight Data Extraction","0.1.0","GPL-3","6.0.1",31,"*"
"treemapify","treemapify","Draw Treemaps in 'ggplot2'","2.3.2","GPL (>= 3)","6.0.1",8,">= 3.4.1"
"bamlss","bamlss","Bayesian Additive Models for Location Scale and Shape (and","0.1-1","GPL-2 | GPL-3",NA,27,">= 3.2.3"
"mMPA","mMPA","Implementation of Marker-Assisted Mini-Pooling with Algorithm","0.1.0","MIT + file LICENSE","6.0.1",2,NA
"mrfDepth","mrfDepth","Depth Measures in Multivariate, Regression and Functional","1.0.1","GPL (>= 2)",NA,8,">= 3.3.0"
"antaresViz","antaresViz","Antares Visualizations","0.8","GPL (>= 2) | file LICENSE","6.0.1",22,NA
"BatchGetSymbols","BatchGetSymbols","Downloads and Organizes Financial Data for Multiple Tickers","1.0","GPL-2","5.0.1",9,">= 3.3.2"
"FLightR","FLightR","Hidden Markov Model for Solar Geolocation Archival Tags","0.4.5","GPL-3","5.0.1",21,">= 3.0.2"
"GetLattesData","GetLattesData","Reading Bibliometric Data from Lattes Platform","0.5","GPL-2","6.0.1",10,">= 3.3.0"
"GROAN","GROAN","Genomic Regression Workbench","1.0.0","GPL-3 | file LICENSE","6.0.1",8,">= 2.10"
"itunesr","itunesr","Access iTunes App Store Ratings and Reviews using R","0.1.1","CC0","6.0.1",6,NA
"partialCI","partialCI","Partial Cointegration","1.1.0","GPL-2 | GPL-3","6.0.1",16,NA
"Rodam","Rodam","Wrapper Functions for 'ODAM' (Open Data for Access and Mining)","0.1.2","LGPL (>= 3)","5.0.1",4,">= 3.1.1"
"stacomiR","stacomiR","Fish Migration Monitoring","0.5.3.1","GPL (>= 2)","5.0.1",26,">= 3.0.0"
"tidyselect","tidyselect","Select from a Set of Strings","0.1.1","GPL-3","6.0.1",5,">= 3.1.0"
"airGR","airGR","Suite of GR Hydrological Models for Precipitation-Runoff","1.0.5.12","GPL-2",NA,1,">= 3.0.1"
"emdi","emdi","Estimating and Mapping Disaggregated Indicators","1.0.0","GPL-2","5.0.1",17,">= 3.3.0"
"NetworkChange","NetworkChange","Bayesian Package for Network Changepoint Analysis","0.1","GPL-3","5.0.1",11,">= 2.10.0"
"wooldridge","wooldridge","A Modern","1.0.1","GPL-3","6.0.1",7,">= 3.4.0"
"EFAutilities","EFAutilities","Utility Functions for Exploratory Factor Analysis","0.1.0","GPL-2","5.0.1",2,">= 2.10"
"mindr","mindr","Convert Files Between Markdown or Rmarkdown Files and Mindmaps","1.0.4","GPL","6.0.1",0,">= 3.0.0"
"nucim","nucim","Nucleus Imaging Toolbox","0.5.3","GPL-3","5.0.1",4,">= 3.0.0"
"billboarder","billboarder","Create Interactive Chart with the JavaScript 'Billboard' Library","0.0.3","MIT + file LICENSE","6.0.1",10,">= 3.3.2"
"c212","c212","Methods for Detecting Safety Signals in Clinical Trials Using","0.90","GPL (>= 2)",NA,1,NA
"easyreg","easyreg","Easy Regression","1.0","GPL (>= 2)",NA,2,">= 3.0.0"
"psda","psda","Polygonal Symbolic Data Analysis","1.0.0","GPL-2","6.0.1",7,">= 3.1"
"sptemExp","sptemExp","Constrained Spatiotemporal Mixed Models for Exposure Estimation","0.1.0","GPL","6.0.1",22,">= 2.14"
"pollen","pollen","Tools for Working with Aerobiological Data","0.40","MIT + file LICENSE","5.0.1",4,NA
"ratelimitr","ratelimitr","Rate Limiting for R","0.3.6","MIT + file LICENSE","5.0.1",5,NA
"rmapzen","rmapzen","Client for the 'Mapzen' API","0.3.3","MIT + file LICENSE","6.0.1",16,">= 2.10"
"wallace","wallace","A Modular Platform for Reproducible Modeling of Species Niches","0.6.1","GPL-3","5.0.1",17,">= 3.2.4"
"bazar","bazar","Miscellaneous Basic Functions","0.1.4","GPL-3","5.0.1",5,">= 3.1.3"
"googledrive","googledrive","An Interface to Google Drive","0.1.1","MIT + file LICENSE","6.0.1",16,">= 3.1.0"
"pdSpecEst","pdSpecEst","Positive-Definite Wavelet-Based Multivariate Spectral Analysis","1.0.0","GPL (>= 2)","5.0.1",7,">= 3.3.1"
"spmoran","spmoran","Moran's Eigenvector-Based Spatial Regression Models","0.1.0","GPL (>= 2)",NA,4,"*"
"CMatching","CMatching","Matching Algorithms for Causal Inference with Clustered Data","1.0","GPL-2",NA,6,">= 2.6.0"
"comtradr","comtradr","Interface with the United Nations Comtrade API","0.0.1","GPL-3","6.0.1",5,">= 3.0.0"
"PWFSLSmoke","PWFSLSmoke","Utilities for Working with Air Quality Monitoring Data","0.99.9","GPL-3","5.0.1",25,">= 3.1.0"
"uiucthemes","uiucthemes","'R' 'Markdown' Themes for 'UIUC' Documents and Presentations","0.1.1","MIT + file LICENSE","5.0.1",1,">= 3.0"
