name,pkg_first
walker,https://cran.r-project.org/src/contrib/Archive/walker/walker_0.1.0.tar.gz
MADPop,https://cran.r-project.org/src/contrib/Archive/MADPop/MADPop_1.1.1.tar.gz
memapp,https://cran.r-project.org/src/contrib/Archive/memapp/memapp_2.0.tar.gz
breathteststan,https://cran.r-project.org/src/contrib/Archive/breathteststan/breathteststan_0.3.0.tar.gz
elasticsearchr,https://cran.r-project.org/src/contrib/Archive/elasticsearchr/elasticsearchr_0.1.0.tar.gz
exampletestr,https://cran.r-project.org/src/contrib/Archive/exampletestr/exampletestr_0.3.0.tar.gz
gggenes,https://cran.r-project.org/src/contrib/Archive/gggenes/gggenes_0.2.0.tar.gz
huxtable,https://cran.r-project.org/src/contrib/Archive/huxtable/huxtable_0.1.0.tar.gz
worrms,https://cran.r-project.org/src/contrib/Archive/worrms/worrms_0.1.0.tar.gz
mdmb,https://cran.r-project.org/src/contrib/Archive/mdmb/mdmb_0.1-0.tar.gz
webmockr,https://cran.r-project.org/src/contrib/Archive/webmockr/webmockr_0.1.0.tar.gz
WVPlots,https://cran.r-project.org/src/contrib/Archive/WVPlots/WVPlots_0.2.0.tar.gz
augSIMEX,https://cran.r-project.org/src/contrib/Archive/augSIMEX/augSIMEX_1.0.tar.gz
autothresholdr,https://cran.r-project.org/src/contrib/Archive/autothresholdr/autothresholdr_0.2.0.tar.gz
eulerr,https://cran.r-project.org/src/contrib/Archive/eulerr/eulerr_0.1.0.tar.gz
jmvcore,https://cran.r-project.org/src/contrib/Archive/jmvcore/jmvcore_0.2.2.tar.gz
semtree,https://cran.r-project.org/src/contrib/Archive/semtree/semtree_0.9.9.tar.gz
sessioninfo,https://cran.r-project.org/src/contrib/Archive/sessioninfo/sessioninfo_1.0.0.tar.gz
shinyWidgets,https://cran.r-project.org/src/contrib/Archive/shinyWidgets/shinyWidgets_0.2.0.tar.gz
spant,https://cran.r-project.org/src/contrib/Archive/spant/spant_0.1.0.tar.gz
KarsTS,https://cran.r-project.org/src/contrib/Archive/KarsTS/KarsTS_1.0.tar.gz
sigr,https://cran.r-project.org/src/contrib/Archive/sigr/sigr_0.1.3.tar.gz
egg,https://cran.r-project.org/src/contrib/Archive/egg/egg_0.2.0.tar.gz
numform,https://cran.r-project.org/src/contrib/Archive/numform/numform_0.0.4.tar.gz
owmr,https://cran.r-project.org/src/contrib/Archive/owmr/owmr_0.7.2.tar.gz
tidyRSS,https://cran.r-project.org/src/contrib/Archive/tidyRSS/tidyRSS_1.0.0.tar.gz
dexter,https://cran.r-project.org/src/contrib/Archive/dexter/dexter_0.1.7.tar.gz
redlistr,https://cran.r-project.org/src/contrib/Archive/redlistr/redlistr_1.0.0.tar.gz
tesseract,https://cran.r-project.org/src/contrib/Archive/tesseract/tesseract_1.0.tar.gz
VARtests,https://cran.r-project.org/src/contrib/Archive/VARtests/VARtests_1.0.1.tar.gz
hutils,https://cran.r-project.org/src/contrib/Archive/hutils/hutils_0.1.2.tar.gz
incidence,https://cran.r-project.org/src/contrib/Archive/incidence/incidence_1.0.0.tar.gz
automultinomial,https://cran.r-project.org/src/contrib/Archive/automultinomial/automultinomial_1.0.0.tar.gz
flextable,https://cran.r-project.org/src/contrib/Archive/flextable/flextable_0.1.0.tar.gz
gibble,https://cran.r-project.org/src/contrib/Archive/gibble/gibble_0.0.1.tar.gz
mvord,https://cran.r-project.org/src/contrib/Archive/mvord/mvord_0.0.1.tar.gz
RATest,https://cran.r-project.org/src/contrib/Archive/RATest/RATest_0.1.0.tar.gz
restriktor,https://cran.r-project.org/src/contrib/Archive/restriktor/restriktor_0.1-55.tar.gz
shallot,https://cran.r-project.org/src/contrib/Archive/shallot/shallot_0.3.1.tar.gz
spatstat.utils,https://cran.r-project.org/src/contrib/Archive/spatstat.utils/spatstat.utils_1.2-8.tar.gz
AMModels,https://cran.r-project.org/src/contrib/Archive/AMModels/AMModels_0.1.1.tar.gz
cpt,https://cran.r-project.org/src/contrib/Archive/cpt/cpt_0.9.tar.gz
filesstrings,https://cran.r-project.org/src/contrib/Archive/filesstrings/filesstrings_0.3.1.tar.gz
GDINA,https://cran.r-project.org/src/contrib/Archive/GDINA/GDINA_1.0.0.tar.gz
greta,https://cran.r-project.org/src/contrib/Archive/greta/greta_0.2.0.tar.gz
lemon,https://cran.r-project.org/src/contrib/Archive/lemon/lemon_0.3.0.tar.gz
vennLasso,https://cran.r-project.org/src/contrib/Archive/vennLasso/vennLasso_0.1.1.tar.gz
rsparkling,https://cran.r-project.org/src/contrib/Archive/rsparkling/rsparkling_0.1.0.tar.gz
strip,https://cran.r-project.org/src/contrib/Archive/strip/strip_0.1.1.tar.gz
atus,https://cran.r-project.org/src/contrib/Archive/atus/atus_0.1.tar.gz
ebimetagenomics,https://cran.r-project.org/src/contrib/Archive/ebimetagenomics/ebimetagenomics_0.2.tar.gz
spectrolab,https://cran.r-project.org/src/contrib/Archive/spectrolab/spectrolab_0.0.2.tar.gz
sugrrants,https://cran.r-project.org/src/contrib/Archive/sugrrants/sugrrants_0.1.0.tar.gz
uavRmp,https://cran.r-project.org/src/contrib/Archive/uavRmp/uavRmp_0.5.1.tar.gz
vistime,https://cran.r-project.org/src/contrib/Archive/vistime/vistime_0.1.0.tar.gz
ggspatial,https://cran.r-project.org/src/contrib/Archive/ggspatial/ggspatial_0.2.1.tar.gz
BayesS5,https://cran.r-project.org/src/contrib/Archive/BayesS5/BayesS5_1.22.tar.gz
commonsMath,https://cran.r-project.org/src/contrib/Archive/commonsMath/commonsMath_1.0.0.tar.gz
drake,https://cran.r-project.org/src/contrib/Archive/drake/drake_1.0.1.tar.gz
latexpdf,https://cran.r-project.org/src/contrib/Archive/latexpdf/latexpdf_0.1.2.tar.gz
link2GI,https://cran.r-project.org/src/contrib/Archive/link2GI/link2GI_0.1-0.tar.gz
electoral,https://cran.r-project.org/src/contrib/Archive/electoral/electoral_0.1.0.tar.gz
JuliaCall,https://cran.r-project.org/src/contrib/Archive/JuliaCall/JuliaCall_0.7.3.tar.gz
microdemic,https://cran.r-project.org/src/contrib/Archive/microdemic/microdemic_0.1.0.tar.gz
MODIS,https://cran.r-project.org/src/contrib/Archive/MODIS/MODIS_1.0.0.tar.gz
PhenotypeSimulator,https://cran.r-project.org/src/contrib/Archive/PhenotypeSimulator/PhenotypeSimulator_0.1.1.tar.gz
reactR,https://cran.r-project.org/src/contrib/Archive/reactR/reactR_0.1.0.tar.gz
rlang,https://cran.r-project.org/src/contrib/Archive/rlang/rlang_0.1.1.tar.gz
rlas,https://cran.r-project.org/src/contrib/Archive/rlas/rlas_1.0.2.tar.gz
sitree,https://cran.r-project.org/src/contrib/Archive/sitree/sitree_0.1-0.tar.gz
solvebio,https://cran.r-project.org/src/contrib/Archive/solvebio/solvebio_0.1.3.tar.gz
texPreview,https://cran.r-project.org/src/contrib/Archive/texPreview/texPreview_1.0.0.tar.gz
CrossVA,https://cran.r-project.org/src/contrib/Archive/CrossVA/CrossVA_0.9.0.tar.gz
d3r,https://cran.r-project.org/src/contrib/Archive/d3r/d3r_0.4.0.tar.gz
dodgr,https://cran.r-project.org/src/contrib/Archive/dodgr/dodgr_0.0.1.tar.gz
mmpf,https://cran.r-project.org/src/contrib/Archive/mmpf/mmpf_0.0.1.tar.gz
mvLSW,https://cran.r-project.org/src/contrib/Archive/mvLSW/mvLSW_1.0.tar.gz
NetworkInference,https://cran.r-project.org/src/contrib/Archive/NetworkInference/NetworkInference_1.0.0.tar.gz
rsMove,https://cran.r-project.org/src/contrib/Archive/rsMove/rsMove_0.1.tar.gz
rWind,https://cran.r-project.org/src/contrib/Archive/rWind/rWind_0.1.3.tar.gz
sf,https://cran.r-project.org/src/contrib/Archive/sf/sf_0.2-0.tar.gz
taskscheduleR,https://cran.r-project.org/src/contrib/Archive/taskscheduleR/taskscheduleR_1.0.tar.gz
trackdem,https://cran.r-project.org/src/contrib/Archive/trackdem/trackdem_0.1.tar.gz
blogdown,https://cran.r-project.org/src/contrib/Archive/blogdown/blogdown_0.1.tar.gz
DEploid,https://cran.r-project.org/src/contrib/Archive/DEploid/DEploid_0.3.2.tar.gz
isdparser,https://cran.r-project.org/src/contrib/Archive/isdparser/isdparser_0.1.0.tar.gz
websearchr,https://cran.r-project.org/src/contrib/Archive/websearchr/websearchr_0.0.1.tar.gz
xaringan,https://cran.r-project.org/src/contrib/Archive/xaringan/xaringan_0.1.tar.gz
bikedata,https://cran.r-project.org/src/contrib/Archive/bikedata/bikedata_0.0.1.tar.gz
dLagM,https://cran.r-project.org/src/contrib/Archive/dLagM/dLagM_0.0.7.tar.gz
dynamichazard,https://cran.r-project.org/src/contrib/Archive/dynamichazard/dynamichazard_0.1.0.tar.gz
FishResp,https://cran.r-project.org/src/contrib/Archive/FishResp/FishResp_0.1.0.tar.gz
meteoland,https://cran.r-project.org/src/contrib/Archive/meteoland/meteoland_0.4.3.tar.gz
osmdata,https://cran.r-project.org/src/contrib/Archive/osmdata/osmdata_0.0.0.tar.gz
bridgesampling,https://cran.r-project.org/src/contrib/Archive/bridgesampling/bridgesampling_0.1-1.tar.gz
cdata,https://cran.r-project.org/src/contrib/Archive/cdata/cdata_0.1.0.tar.gz
RApiDatetime,https://cran.r-project.org/src/contrib/Archive/RApiDatetime/RApiDatetime_0.0.1.tar.gz
lexicon,https://cran.r-project.org/src/contrib/Archive/lexicon/lexicon_0.0.1.tar.gz
ciTools,https://cran.r-project.org/src/contrib/Archive/ciTools/ciTools_0.1.0.tar.gz
poliscidata,https://cran.r-project.org/src/contrib/Archive/poliscidata/poliscidata_1.2.0.tar.gz
webTRISr,https://cran.r-project.org/src/contrib/Archive/webTRISr/webTRISr_0.1.0.tar.gz
wikitaxa,https://cran.r-project.org/src/contrib/Archive/wikitaxa/wikitaxa_0.1.0.tar.gz
xtensor,https://cran.r-project.org/src/contrib/Archive/xtensor/xtensor_0.1.0-0.tar.gz
antaresRead,https://cran.r-project.org/src/contrib/Archive/antaresRead/antaresRead_1.1.1.tar.gz
bsplinePsd,https://cran.r-project.org/src/contrib/Archive/bsplinePsd/bsplinePsd_0.1.0.tar.gz
charlatan,https://cran.r-project.org/src/contrib/Archive/charlatan/charlatan_0.1.0.tar.gz
evaluator,https://cran.r-project.org/src/contrib/Archive/evaluator/evaluator_0.1.0.tar.gz
hNMF,https://cran.r-project.org/src/contrib/Archive/hNMF/hNMF_0.2.tar.gz
PowerUpR,https://cran.r-project.org/src/contrib/Archive/PowerUpR/PowerUpR_0.1.2.tar.gz
PWEALL,https://cran.r-project.org/src/contrib/Archive/PWEALL/PWEALL_1.0.0.tar.gz
sdpt3r,https://cran.r-project.org/src/contrib/Archive/sdpt3r/sdpt3r_0.1.tar.gz
BimodalIndex,https://cran.r-project.org/src/contrib/Archive/BimodalIndex/BimodalIndex_1.1.5.tar.gz
breathtestcore,https://cran.r-project.org/src/contrib/Archive/breathtestcore/breathtestcore_0.3.0.tar.gz
clickR,https://cran.r-project.org/src/contrib/Archive/clickR/clickR_0.1.8.tar.gz
dataPreparation,https://cran.r-project.org/src/contrib/Archive/dataPreparation/dataPreparation_0.1.tar.gz
fergm,https://cran.r-project.org/src/contrib/Archive/fergm/fergm_0.2.0.tar.gz
GenAlgo,https://cran.r-project.org/src/contrib/Archive/GenAlgo/GenAlgo_2.1.3.tar.gz
pinyin,https://cran.r-project.org/src/contrib/Archive/pinyin/pinyin_1.0.2.tar.gz
pivottabler,https://cran.r-project.org/src/contrib/Archive/pivottabler/pivottabler_0.1.0.tar.gz
bcROCsurface,https://cran.r-project.org/src/contrib/Archive/bcROCsurface/bcROCsurface_1.0-1.tar.gz
bookdownplus,https://cran.r-project.org/src/contrib/Archive/bookdownplus/bookdownplus_1.0.2.tar.gz
grattan,https://cran.r-project.org/src/contrib/Archive/grattan/grattan_1.3.0.3.tar.gz
queuecomputer,https://cran.r-project.org/src/contrib/Archive/queuecomputer/queuecomputer_0.5.1.tar.gz
cosinor2,https://cran.r-project.org/src/contrib/Archive/cosinor2/cosinor2_0.1.0.tar.gz
crminer,https://cran.r-project.org/src/contrib/Archive/crminer/crminer_0.1.0.tar.gz
define,https://cran.r-project.org/src/contrib/Archive/define/define_0.2.5.tar.gz
dendroTools,https://cran.r-project.org/src/contrib/Archive/dendroTools/dendroTools_0.0.3.tar.gz
dslabs,https://cran.r-project.org/src/contrib/Archive/dslabs/dslabs_0.0.1.tar.gz
readJDX,https://cran.r-project.org/src/contrib/Archive/readJDX/readJDX_0.2.3.tar.gz
stormwindmodel,https://cran.r-project.org/src/contrib/Archive/stormwindmodel/stormwindmodel_0.1.0.tar.gz
analytics,https://cran.r-project.org/src/contrib/Archive/analytics/analytics_1.0.tar.gz
touch,https://cran.r-project.org/src/contrib/Archive/touch/touch_0.1-3.tar.gz
GSED,https://cran.r-project.org/src/contrib/Archive/GSED/GSED_1.0.tar.gz
hoardr,https://cran.r-project.org/src/contrib/Archive/hoardr/hoardr_0.1.0.tar.gz
psychmeta,https://cran.r-project.org/src/contrib/Archive/psychmeta/psychmeta_0.1.0.tar.gz
Rnightlights,https://cran.r-project.org/src/contrib/Archive/Rnightlights/Rnightlights_0.1.0.tar.gz
treemapify,https://cran.r-project.org/src/contrib/Archive/treemapify/treemapify_2.3.2.tar.gz
bamlss,https://cran.r-project.org/src/contrib/Archive/bamlss/bamlss_0.1-1.tar.gz
mMPA,https://cran.r-project.org/src/contrib/Archive/mMPA/mMPA_0.1.0.tar.gz
mrfDepth,https://cran.r-project.org/src/contrib/Archive/mrfDepth/mrfDepth_1.0.1.tar.gz
antaresViz,https://cran.r-project.org/src/contrib/Archive/antaresViz/antaresViz_0.8.tar.gz
BatchGetSymbols,https://cran.r-project.org/src/contrib/Archive/BatchGetSymbols/BatchGetSymbols_1.0.tar.gz
FLightR,https://cran.r-project.org/src/contrib/Archive/FLightR/FLightR_0.4.5.tar.gz
GetLattesData,https://cran.r-project.org/src/contrib/Archive/GetLattesData/GetLattesData_0.5.tar.gz
GROAN,https://cran.r-project.org/src/contrib/Archive/GROAN/GROAN_1.0.0.tar.gz
itunesr,https://cran.r-project.org/src/contrib/Archive/itunesr/itunesr_0.1.1.tar.gz
partialCI,https://cran.r-project.org/src/contrib/Archive/partialCI/partialCI_1.1.0.tar.gz
Rodam,https://cran.r-project.org/src/contrib/Archive/Rodam/Rodam_0.1.2.tar.gz
stacomiR,https://cran.r-project.org/src/contrib/Archive/stacomiR/stacomiR_0.5.3.1.tar.gz
tidyselect,https://cran.r-project.org/src/contrib/Archive/tidyselect/tidyselect_0.1.1.tar.gz
airGR,https://cran.r-project.org/src/contrib/Archive/airGR/airGR_1.0.5.12.tar.gz
emdi,https://cran.r-project.org/src/contrib/Archive/emdi/emdi_1.0.0.tar.gz
NetworkChange,https://cran.r-project.org/src/contrib/Archive/NetworkChange/NetworkChange_0.1.tar.gz
wooldridge,https://cran.r-project.org/src/contrib/Archive/wooldridge/wooldridge_1.0.1.tar.gz
EFAutilities,https://cran.r-project.org/src/contrib/Archive/EFAutilities/EFAutilities_0.1.0.tar.gz
mindr,https://cran.r-project.org/src/contrib/Archive/mindr/mindr_1.0.4.tar.gz
nucim,https://cran.r-project.org/src/contrib/Archive/nucim/nucim_0.5.3.tar.gz
billboarder,https://cran.r-project.org/src/contrib/Archive/billboarder/billboarder_0.0.3.tar.gz
c212,https://cran.r-project.org/src/contrib/Archive/c212/c212_0.90.tar.gz
easyreg,https://cran.r-project.org/src/contrib/Archive/easyreg/easyreg_1.0.tar.gz
psda,https://cran.r-project.org/src/contrib/Archive/psda/psda_1.0.0.tar.gz
sptemExp,https://cran.r-project.org/src/contrib/Archive/sptemExp/sptemExp_0.1.0.tar.gz
pollen,https://cran.r-project.org/src/contrib/Archive/pollen/pollen_0.40.tar.gz
ratelimitr,https://cran.r-project.org/src/contrib/Archive/ratelimitr/ratelimitr_0.3.6.tar.gz
rmapzen,https://cran.r-project.org/src/contrib/Archive/rmapzen/rmapzen_0.3.3.tar.gz
wallace,https://cran.r-project.org/src/contrib/Archive/wallace/wallace_0.6.1.tar.gz
bazar,https://cran.r-project.org/src/contrib/Archive/bazar/bazar_0.1.4.tar.gz
googledrive,https://cran.r-project.org/src/contrib/Archive/googledrive/googledrive_0.1.1.tar.gz
pdSpecEst,https://cran.r-project.org/src/contrib/Archive/pdSpecEst/pdSpecEst_1.0.0.tar.gz
spmoran,https://cran.r-project.org/src/contrib/Archive/spmoran/spmoran_0.1.0.tar.gz
CMatching,https://cran.r-project.org/src/contrib/Archive/CMatching/CMatching_1.0.tar.gz
comtradr,https://cran.r-project.org/src/contrib/Archive/comtradr/comtradr_0.0.1.tar.gz
PWFSLSmoke,https://cran.r-project.org/src/contrib/Archive/PWFSLSmoke/PWFSLSmoke_0.99.9.tar.gz
uiucthemes,https://cran.r-project.org/src/contrib/Archive/uiucthemes/uiucthemes_0.1.1.tar.gz
auk,https://cran.r-project.org/src/contrib/Archive/auk/auk_0.0.1.tar.gz
Delta,https://cran.r-project.org/src/contrib/Archive/Delta/Delta_0.1.0.1.tar.gz
partitionComparison,https://cran.r-project.org/src/contrib/Archive/partitionComparison/partitionComparison_0.2.2.tar.gz
rjmcmc,https://cran.r-project.org/src/contrib/Archive/rjmcmc/rjmcmc_0.2.2.tar.gz
soundgen,https://cran.r-project.org/src/contrib/Archive/soundgen/soundgen_1.0.0.tar.gz
spatstat.data,https://cran.r-project.org/src/contrib/Archive/spatstat.data/spatstat.data_1.0-1.tar.gz
TileManager,https://cran.r-project.org/src/contrib/Archive/TileManager/TileManager_0.1.0.tar.gz
ClassDiscovery,https://cran.r-project.org/src/contrib/Archive/ClassDiscovery/ClassDiscovery_3.3.7.tar.gz
dataMaid,https://cran.r-project.org/src/contrib/Archive/dataMaid/dataMaid_0.9.2.tar.gz
mdsOpt,https://cran.r-project.org/src/contrib/Archive/mdsOpt/mdsOpt_0.1-1.tar.gz
odr,https://cran.r-project.org/src/contrib/Archive/odr/odr_0.3.2.tar.gz
PeakSegJoint,https://cran.r-project.org/src/contrib/Archive/PeakSegJoint/PeakSegJoint_2017.08.11.tar.gz
RcmdrPlugin.RiskDemo,https://cran.r-project.org/src/contrib/Archive/RcmdrPlugin.RiskDemo/RcmdrPlugin.RiskDemo_1.9.tar.gz
vein,https://cran.r-project.org/src/contrib/Archive/vein/vein_0.2.1-4.tar.gz
tensorBF,https://cran.r-project.org/src/contrib/Archive/tensorBF/tensorBF_1.0.0.tar.gz
WeightedROC,https://cran.r-project.org/src/contrib/Archive/WeightedROC/WeightedROC_2017.06.08.tar.gz
carData,https://cran.r-project.org/src/contrib/Archive/carData/carData_3.0-0.tar.gz
loon,https://cran.r-project.org/src/contrib/Archive/loon/loon_1.1.0.tar.gz
metaplot,https://cran.r-project.org/src/contrib/Archive/metaplot/metaplot_0.1.1.tar.gz
nanotime,https://cran.r-project.org/src/contrib/Archive/nanotime/nanotime_0.0.1.tar.gz
nonmemica,https://cran.r-project.org/src/contrib/Archive/nonmemica/nonmemica_0.7.1.tar.gz
clustermq,https://cran.r-project.org/src/contrib/Archive/clustermq/clustermq_0.7.0.tar.gz
fDMA,https://cran.r-project.org/src/contrib/Archive/fDMA/fDMA_1.0.tar.gz
LearnGeom,https://cran.r-project.org/src/contrib/Archive/LearnGeom/LearnGeom_1.0.tar.gz
shadow,https://cran.r-project.org/src/contrib/Archive/shadow/shadow_0.1.3.tar.gz
antaresProcessing,https://cran.r-project.org/src/contrib/Archive/antaresProcessing/antaresProcessing_0.10.0.tar.gz
BETS,https://cran.r-project.org/src/contrib/Archive/BETS/BETS_0.0.98.tar.gz
ecm,https://cran.r-project.org/src/contrib/Archive/ecm/ecm_0.1.0.tar.gz
scalpel,https://cran.r-project.org/src/contrib/Archive/scalpel/scalpel_1.0.0.tar.gz
textreadr,https://cran.r-project.org/src/contrib/Archive/textreadr/textreadr_0.3.0.tar.gz
ggridges,https://cran.r-project.org/src/contrib/Archive/ggridges/ggridges_0.4.0.tar.gz
boxcoxmix,https://cran.r-project.org/src/contrib/Archive/boxcoxmix/boxcoxmix_0.13.tar.gz
seplyr,https://cran.r-project.org/src/contrib/Archive/seplyr/seplyr_0.1.0.tar.gz
frequencyConnectedness,https://cran.r-project.org/src/contrib/Archive/frequencyConnectedness/frequencyConnectedness_0.1.5.tar.gz
grf,https://cran.r-project.org/src/contrib/Archive/grf/grf_0.9.2.tar.gz
parallelDist,https://cran.r-project.org/src/contrib/Archive/parallelDist/parallelDist_0.1.0.tar.gz
revengc,https://cran.r-project.org/src/contrib/Archive/revengc/revengc_1.0.0.tar.gz
smapr,https://cran.r-project.org/src/contrib/Archive/smapr/smapr_0.0.1.tar.gz
geex,https://cran.r-project.org/src/contrib/Archive/geex/geex_1.0.3.tar.gz
geojsonR,https://cran.r-project.org/src/contrib/Archive/geojsonR/geojsonR_1.0.0.tar.gz
jtools,https://cran.r-project.org/src/contrib/Archive/jtools/jtools_0.4.2.tar.gz
sparsepp,https://cran.r-project.org/src/contrib/Archive/sparsepp/sparsepp_0.1.0.tar.gz
uGMAR,https://cran.r-project.org/src/contrib/Archive/uGMAR/uGMAR_1.0.0.tar.gz
HEMDAG,https://cran.r-project.org/src/contrib/Archive/HEMDAG/HEMDAG_1.0.0.tar.gz
RInno,https://cran.r-project.org/src/contrib/Archive/RInno/RInno_0.0.1.tar.gz
datasauRus,https://cran.r-project.org/src/contrib/Archive/datasauRus/datasauRus_0.1.2.tar.gz
gravity,https://cran.r-project.org/src/contrib/Archive/gravity/gravity_0.3.tar.gz
phuse,https://cran.r-project.org/src/contrib/Archive/phuse/phuse_0.1.4.tar.gz
rcoreoa,https://cran.r-project.org/src/contrib/Archive/rcoreoa/rcoreoa_0.1.0.tar.gz
ROptSpace,https://cran.r-project.org/src/contrib/Archive/ROptSpace/ROptSpace_0.1.0.tar.gz
BayLum,https://cran.r-project.org/src/contrib/Archive/BayLum/BayLum_0.1.0.tar.gz
CIAAWconsensus,https://cran.r-project.org/src/contrib/Archive/CIAAWconsensus/CIAAWconsensus_1.1.tar.gz
