pkg_name,pkg_download_successful,pkg_download_time,pkg_download_targz_size
CINNA,TRUE,1.32368397712708,268578
manet,TRUE,0.955482959747314,7880
micemd,TRUE,1.31875705718994,246133
sarima,TRUE,1.19688200950623,183178
BayesNetBP,TRUE,1.14681601524353,66139
BioInstaller,TRUE,2.52896499633789,20612
collapsibleTree,TRUE,3.11525702476501,735789
Eagle,TRUE,3.27831697463989,905051
geometa,TRUE,1.25932002067566,92097
GMSE,TRUE,1.17100811004639,74198
lidR,TRUE,1.75241088867188,762186
lmridge,TRUE,1.20657801628113,25290
rstantools,TRUE,0.985678911209106,38316
rvinecopulib,TRUE,1.45200085639954,333748
SSBtools,TRUE,0.982024908065796,17661
TLMoments,TRUE,1.79914021492004,61969
quickblock,TRUE,1.36500310897827,32467
rsolr,TRUE,1.44655013084412,420688
lagged,TRUE,0.967035055160522,8300
RLT,TRUE,2.1534640789032,49006
shinyFeedback,TRUE,1.7222888469696,24336
censusapi,TRUE,2.62373995780945,1078724
dwapi,TRUE,1.16810512542725,36028
hrbrthemes,TRUE,1.96571207046509,956902
IPEC,TRUE,1.07086896896362,34812
mockery,TRUE,1.00283598899841,20628
sweep,TRUE,2.08507800102234,699686
timetk,TRUE,4.36988806724548,627016
narray,TRUE,1.22790217399597,144269
AbSim,TRUE,1.19001984596252,112635
bigstatsr,TRUE,1.71768999099731,652778
DMMF,TRUE,1.21434307098389,147413
GPrank,TRUE,1.72650814056396,533474
haploR,TRUE,1.31153106689453,236654
optrdd,TRUE,1.22325491905212,10128
textutils,TRUE,1.30192494392395,128678
batchtools,TRUE,2.27973508834839,1233422
castor,TRUE,1.21069812774658,122320
datastructures,TRUE,1.8594810962677,840952
mapedit,TRUE,0.994418144226074,19739
openEBGM,TRUE,1.49307084083557,234446
processx,TRUE,1.081463098526,52559
BMisc,TRUE,0.956130981445312,8319
cholera,TRUE,4.06948089599609,3797243
civis,TRUE,1.74479007720947,704095
distances,TRUE,1.10581302642822,84431
vetr,TRUE,1.75272512435913,623095
LMfilteR,TRUE,0.954107999801636,3994
powerlmm,TRUE,1.7973690032959,639876
ProliferativeIndex,TRUE,2.27342295646667,1239377
snakecase,TRUE,1.22883415222168,91601
EL2Surv,TRUE,1.00615811347961,14827
kirby21.base,TRUE,0.960957050323486,7835
kirby21.fmri,TRUE,1.37251996994019,2372
kirby21.t1,TRUE,0.949903011322021,2354
sequoia,TRUE,1.76695704460144,405568
subprocess,TRUE,1.98925304412842,37489
genBaRcode,TRUE,1.59555602073669,223929
libstableR,TRUE,1.1266450881958,51596
MCMCprecision,TRUE,1.00873899459839,17583
jcolors,TRUE,2.67211294174194,1388476
IDmining,TRUE,1.1652820110321,10241
PRISMAstatement,TRUE,2.20852208137512,1102949
taxa,TRUE,2.39371800422668,1933353
gridsample,TRUE,1.00038599967957,15161
nsROC,TRUE,1.03277897834778,33807
roadoi,TRUE,1.36398410797119,241066
tmaptools,TRUE,1.1082079410553,75247
coda.base,TRUE,0.960180044174194,7766
crochet,TRUE,0.956588983535767,11268
DSAIDE,TRUE,3.49220395088196,4227643
gasfluxes,TRUE,1.13119292259216,72943
MatrixLDA,TRUE,0.961749792098999,12134
reticulate,TRUE,1.2082371711731,90736
rPraat,TRUE,1.25485014915466,155649
simmer.plot,TRUE,2.06023979187012,1206070
ggformula,TRUE,2.70836687088013,2107206
icesTAF,TRUE,1.01495003700256,14615
pre,TRUE,1.01275610923767,21447
TOSTER,TRUE,1.10479021072388,47700
bayesplot,TRUE,3.26386904716492,3378773
LncFinder,TRUE,2.68186712265015,2277686
colourvision,TRUE,0.985984086990356,30608
hyper2,TRUE,1.20120000839233,190229
flifo,TRUE,0.952116012573242,10658
gcKrig,TRUE,1.28349590301514,49446
geomerge,TRUE,2.70585107803345,1550519
janitor,TRUE,1.09349393844604,46100
statip,TRUE,0.984402894973755,15933
dotCall64,TRUE,0.972629070281982,16406
reghelper,TRUE,0.989558935165405,44627
sylly,TRUE,1.20226907730103,172960
makedummies,TRUE,1.18472099304199,2601
woeBinning,TRUE,1.13203692436218,33598
CBCgrps,TRUE,3.49171996116638,36922
CSeqpat,TRUE,1.03438901901245,2000
aws.ec2metadata,TRUE,0.956692934036255,3732
errors,TRUE,0.959543943405151,9379
GPoM,TRUE,4.98386693000793,3601984
projmanr,TRUE,2.7084789276123,15373
regplot,TRUE,2.48987102508545,18986
dbplyr,TRUE,2.45498204231262,241093
netCoin,TRUE,1.97736001014709,226898
oddsratio,TRUE,1.16251921653748,10060
shinyjqui,TRUE,1.66341710090637,564600
simglm,TRUE,1.21145105361938,137615
textTinyR,TRUE,3.17183899879456,609861
anMC,TRUE,1.24268698692322,24833
safer,TRUE,1.00791096687317,6967
mapsapi,TRUE,1.35337996482849,289031
nmaINLA,TRUE,1.55634498596191,397645
officer,TRUE,1.29438281059265,134828
textclean,TRUE,1.29708814620972,119256
WordR,TRUE,1.5353319644928,316455
ggiraphExtra,TRUE,1.47841095924377,319110
MSbox,TRUE,1.13641381263733,27883
survutils,TRUE,1.2231650352478,99409
BAMBI,TRUE,1.30513691902161,106599
ggpval,TRUE,1.22791790962219,140907
wdman,TRUE,0.98196816444397,26109
BALCONY,TRUE,1.6296980381012,221562
ggstance,TRUE,1.32768702507019,100254
lumberjack,TRUE,1.00350308418274,23747
Seurat,TRUE,1.94343709945679,813570
spind,TRUE,1.21546411514282,123483
spm,TRUE,3.93045592308044,2400598
vagalumeR,TRUE,0.962445974349976,3441
blastula,TRUE,5.83289194107056,4088064
ncar,TRUE,1.53430795669556,173833
NonCompart,TRUE,1.2060661315918,148517
rwalkr,TRUE,0.980377197265625,42491
binman,TRUE,1.13111996650696,46795
CNLTreg,TRUE,1.12364602088928,18237
CNLTtsa,TRUE,1.12086200714111,78688
future.batchtools,TRUE,1.08414196968079,41120
qqplotr,TRUE,1.12031292915344,57829
rmpw,TRUE,1.00884795188904,26937
SmoothWin,TRUE,0.953850984573364,6325
CATkit,TRUE,1.54593896865845,399294
CodeDepends,TRUE,1.65727806091309,507846
dgo,TRUE,2.01995301246643,1034475
easyDes,TRUE,0.955802917480469,4126
glue,TRUE,0.962990999221802,9100
pinp,TRUE,0.988448858261108,17852
rmda,TRUE,2.99842882156372,2004438
RTransProb,TRUE,1.19442391395569,59451
scatterpie,TRUE,1.35283398628235,316445
BayesianTools,TRUE,1.6531229019165,617433
beyondWhittle,TRUE,0.976418018341064,31323
DendroSync,TRUE,1.00785303115845,32114
GCalignR,TRUE,2.35196280479431,1475634
keyring,TRUE,0.9775710105896,33697
ordinalForest,TRUE,0.975391149520874,29018
spacyr,TRUE,0.971130132675171,33183
WRTDStidal,TRUE,1.79024291038513,616163
benchr,TRUE,0.993446111679077,20535
GreedyExperimentalDesign,TRUE,1.46462106704712,255121
MODIStsp,TRUE,2.40231704711914,1355562
Rlinsolve,TRUE,0.982070922851562,24100
SpaDES.tools,TRUE,1.20908784866333,187691
FRK,TRUE,3.76251196861267,4078858
htree,TRUE,1.28516793251038,83021
incadata,TRUE,1.32804584503174,135010
Rlda,TRUE,1.11648893356323,54564
gemlog,TRUE,0.819588899612427,25535
MAGNAMWAR,TRUE,2.06317901611328,1058541
qGaussian,TRUE,0.957422018051147,4408
spass,TRUE,0.978817939758301,39294
desctable,TRUE,1.30882596969604,252284
polyPK,TRUE,1.08348917961121,92944
bayesDP,TRUE,0.993216991424561,22172
cetcolor,TRUE,1.55233502388,463077
crul,TRUE,0.994319200515747,17205
MetaSubtract,TRUE,1.20076394081116,142326
pdfsearch,TRUE,1.63737797737122,619486
qicharts2,TRUE,1.97779607772827,626084
rhoR,TRUE,0.967380046844482,28058
spelling,TRUE,0.96628212928772,7473
phylopath,TRUE,1.20789003372192,188107
ggforce,TRUE,2.43672895431519,1489541
ggraph,TRUE,3.08780097961426,2628485
AcousticNDLCodeR,TRUE,1.43571019172668,364689
CytobankAPI,TRUE,3.42519497871399,2509492
docxtools,TRUE,0.950071811676025,6002
ggfittext,TRUE,1.54035997390747,402330
bmixture,TRUE,0.956666946411133,12078
permDep,TRUE,0.960186004638672,15138
satscanMapper,TRUE,2.25385308265686,1333657
GADMTools,TRUE,0.946056127548218,14852
kernelboot,TRUE,0.975587129592896,21521
visdat,TRUE,2.62287521362305,1736995
DatabionicSwarm,TRUE,1.08598804473877,63398
GeneralizedUmatrix,TRUE,0.973128080368042,32269
ggedit,TRUE,1.08923697471619,74801
glmmTMB,TRUE,2.24495387077332,943857
processmapR,TRUE,1.48835802078247,7981
spup,TRUE,2.67284607887268,1574479
disco,TRUE,2.15459489822388,1206662
drtmle,TRUE,1.15151500701904,94158
neatmaps,TRUE,0.991883993148804,16687
simule,TRUE,1.31225180625916,310836
bupaR,TRUE,0.963121175765991,10170
GenomicMating,TRUE,0.967871904373169,9795
ImputeRobust,TRUE,0.986324787139893,21587
biolink,TRUE,0.955727815628052,10139
crplyr,TRUE,0.945169925689697,10825
expint,TRUE,1.22293996810913,196518
learnr,TRUE,1.34084582328796,290682
mfe,TRUE,0.990196943283081,45901
multicmp,TRUE,0.961522817611694,6137
pool,TRUE,1.07819819450378,26935
SCORPIUS,TRUE,3.38892602920532,3103352
support.BWS2,TRUE,0.993956089019775,15426
taxlist,TRUE,2.53065991401672,1555488
vegtable,TRUE,2.27382802963257,1115155
cld3,TRUE,1.87779378890991,652598
dynOmics,TRUE,0.995052814483643,40178
prioritizr,TRUE,1.89183712005615,831098
raptr,TRUE,3.61403298377991,3981302
ropercenter,TRUE,2.11575102806091,1235934
SimMultiCorrData,TRUE,2.0243809223175,1000615
colordistance,TRUE,2.54214000701904,1525456
CytobankAPIstats,TRUE,0.950944900512695,11141
dng,TRUE,0.956525087356567,6120
GBJ,TRUE,1.0936119556427,47382
ClusterBootstrap,TRUE,0.961248874664307,7709
fetchR,TRUE,5.42828893661499,1353500
jpmesh,TRUE,3.41808485984802,4128527
padr,TRUE,7.05541682243347,2851531
treeDA,TRUE,1.74913096427917,676796
unpivotr,TRUE,4.97009181976318,1011734
catcont,TRUE,1.01996803283691,4677
cellWise,TRUE,1.56401920318604,521689
multinet,TRUE,2.61240911483765,86060
phylogram,TRUE,1.76612401008606,105100
coreCT,TRUE,2.53246784210205,351554
mosaicCore,TRUE,1.07542610168457,16113
patternplot,TRUE,1.31698799133301,323586
RIA,TRUE,0.989584922790527,42871
splot,TRUE,1.00944709777832,23859
hexSticker,TRUE,1.98963809013367,674122
KnowBR,TRUE,2.51492595672607,2100972
subscreen,TRUE,0.963617086410522,9734
BUCSS,TRUE,0.956599950790405,15137
fastDummies,TRUE,1.52306485176086,492601
googleLanguageR,TRUE,1.34298992156982,236381
LEGIT,TRUE,0.972543001174927,32696
mlrMBO,TRUE,4.72210001945496,4063131
tidyxl,TRUE,1.61717295646667,338301
momentuHMM,TRUE,2.84048008918762,2777361
womblR,TRUE,1.47756290435791,433027
chinese.misc,TRUE,0.973233938217163,32352
cstab,TRUE,0.97357177734375,21170
ggimage,TRUE,1.19691109657288,218272
prodest,TRUE,1.43007302284241,470854
rdiversity,TRUE,0.980339050292969,35417
spam64,TRUE,1.09172296524048,63986
uptasticsearch,TRUE,1.12028694152832,57315
ahnr,TRUE,1.41460490226746,376890
asciiSetupReader,TRUE,1.33955192565918,261389
bayeslm,TRUE,0.961041927337646,11809
CircularDDM,TRUE,1.32441687583923,340194
MetaComp,TRUE,1.54384899139404,621162
fuser,TRUE,1.13681101799011,82033
walrus,TRUE,0.959213972091675,14549
AdhereR,TRUE,2.78635311126709,2004666
bsamGP,TRUE,1.33244514465332,291510
loder,TRUE,1.13394212722778,90302
MultisiteMediation,TRUE,0.959553956985474,13938
prophet,TRUE,2.09592199325562,1049452
jpndistrict,TRUE,4.99382901191711,4547702
