"","pkg_name_vec","pkg_title.df"
"shallot","shallot","Random Partition Distribution Indexed by Pairwise Information"
"spatstat.utils","spatstat.utils","Experimental Subset of 'spatstat' Utilities"
"AMModels","AMModels","Adaptive Management Model Manager"
"cpt","cpt","Classification Permutation Test"
"filesstrings","filesstrings","Handy String and File Manipulation"
"GDINA","GDINA","The Generalized DINA Model Framework"
"greta","greta","Simple and Scalable Statistical Modelling in R"
"lemon","lemon","Freshing Up your 'ggplot2' Plots"
"vennLasso","vennLasso","Variable Selection for Heterogeneous Populations"
"rsparkling","rsparkling","R Interface for H2O Sparkling Water"
"strip","strip","Lighten your R Model Outputs"
"atus","atus","American Time Use Survey Data"
"ebimetagenomics","ebimetagenomics","EBI Metagenomics Portal"
"spectrolab","spectrolab","Class and Methods for Hyperspectral Data"
"sugrrants","sugrrants","Supporting Graphs for Analysing Time Series"
"uavRmp","uavRmp","UAV Mission Planner"
"vistime","vistime","Interactive R Timelines using 'plotly.js'"
"ggspatial","ggspatial","Spatial Data Framework for ggplot2"
"BayesS5","BayesS5","Bayesian Variable Selection Using Simplified Shotgun Stochastic"
"commonsMath","commonsMath","JAR Files of the Apache Commons Mathematics Library"
"drake","drake","Data Frames in R for Make"
"latexpdf","latexpdf","Convert Tables to PDF"
"link2GI","link2GI","Linking GIS, Remote Sensing and Other Command Line Tools"
"electoral","electoral","Allocating Seats Methods and Party System Scores"
"JuliaCall","JuliaCall","Seamless Integration Between R and 'Julia'"
"microdemic","microdemic","'Microsoft Academic' API Client"
"MODIS","MODIS","Acquisition and Processing of MODIS Products"
"PhenotypeSimulator","PhenotypeSimulator","Flexible Phenotype Simulation from Different Genetic and Noise"
"reactR","reactR","React Helpers"
"rlang","rlang","Functions for Base Types and Core R and 'Tidyverse' Features"
"rlas","rlas","Read and Write 'las' and 'laz' Binary File Formats"
"sitree","sitree","Single Tree Simulator"
"solvebio","solvebio","The Official SolveBio API Client for R"
"texPreview","texPreview","Compile and Preview Snippets of 'LaTeX' in 'RStudio'"
"CrossVA","CrossVA","Verbal Autopsy Data Transform for Use with Various Coding"
"d3r","d3r","'d3.js' Utilities for R"
"dodgr","dodgr","Distances on Directed Graphs"
"mmpf","mmpf","Monte-Carlo Methods for Prediction Functions"
"mvLSW","mvLSW","Multivariate Locally Stationary Wavelet Analysis"
"NetworkInference","NetworkInference","Inferring Latent Diffusion Networks"
"rsMove","rsMove","Remote Sensing for Movement Ecology"
"rWind","rWind","Download, Edit and Transform Wind Data from GFS"
"sf","sf","Simple Features for R"
"taskscheduleR","taskscheduleR","Schedule R Scripts and Processes with the Windows Task Scheduler"
"trackdem","trackdem","Particle Tracking and Demography"
"blogdown","blogdown","Create Blogs and Websites with R Markdown"
"DEploid","DEploid","Deconvolute Mixed Genomes with Unknown Proportions"
"isdparser","isdparser","Parse 'NOAA' Integrated Surface Data Files"
"websearchr","websearchr","Access Domains and Search Popular Websites"
"xaringan","xaringan","Presentation Ninja"
"bikedata","bikedata","Download and Aggregate Data from Public Hire Bicycle Systems"
"dLagM","dLagM","Time Series Regression Models with Distributed Lag Models"
"dynamichazard","dynamichazard","Dynamic Hazard Models using State Space Models"
"FishResp","FishResp","An Analytical Tool for Aquatic Respirometry"
"meteoland","meteoland","Landscape Meteorology Tools"
"osmdata","osmdata","Import OpenStreetMap Data as Simple Features or Spatial Objects"
"bridgesampling","bridgesampling","Bridge Sampling for Marginal Likelihoods and Bayes Factors"
"cdata","cdata","spread()'"
"RApiDatetime","RApiDatetime","R API Datetime"
"lexicon","lexicon","Lexicons"
"ciTools","ciTools","Confidence or Prediction Intervals, Quantiles, and Probabilities"
"poliscidata","poliscidata","Datasets and Functions Featured in Pollock and Edwards R"
"webTRISr","webTRISr","A Wrapper Around 'WebTRIS' Traffic Flow API from Highways"
"wikitaxa","wikitaxa","Taxonomic Information from 'Wikipedia'"
"xtensor","xtensor","Headers for the 'xtensor' Library"
"antaresRead","antaresRead","Import, Manipulate and Explore the Results of an Antares"
"bsplinePsd","bsplinePsd","Bayesian Nonparametric Spectral Density Estimation Using"
"charlatan","charlatan","Make Fake Data"
"evaluator","evaluator","Information Security Quantified Risk Assessment Toolkit"
"hNMF","hNMF","Hierarchical Non-Negative Matrix Factorization"
"PowerUpR","PowerUpR","Power Analysis Tools for Individual/Cluster Randomized Trials"
"PWEALL","PWEALL","Design and Monitoring of Survival Trials Accounting for Complex"
"sdpt3r","sdpt3r","Semi-Definite Quadratic Linear Programming Solver"
"BimodalIndex","BimodalIndex","The Bimodality Index"
"breathtestcore","breathtestcore","Core Functions to Read and Fit 13c Time Series from Breath Tests"
"clickR","clickR","Fix Data and Create Report Tables from Different Objects"
"dataPreparation","dataPreparation","Automated Data Preparation"
"fergm","fergm","Estimation and Fit Assessment of Frailty Exponential Random"
"GenAlgo","GenAlgo","Classes and Methods to Use Genetic Algorithms for Feature"
"pinyin","pinyin","Convert Chinese Characters into Pinyin"
"pivottabler","pivottabler","Create Pivot Tables in R"
"bcROCsurface","bcROCsurface","Bias-Corrected Methods for Estimating the ROC Surface of"
"bookdownplus","bookdownplus","Generate Varied Books and Documents with R 'bookdown' Package"
"grattan","grattan","Perform Common Quantitative Tasks for Australian Analysts and to"
"queuecomputer","queuecomputer","Computationally Efficient Queue Simulation"
"cosinor2","cosinor2","Extended Tools for Cosinor Analysis of Rhythms"
"crminer","crminer","Fetch 'Scholary' Full Text from 'Crossref'"
"define","define","Create FDA-Style Data and Program Definitions"
"dendroTools","dendroTools","Nonlinear Methods for Analyzing Dendroclimatological Data"
"dslabs","dslabs","Data Science Labs"
"readJDX","readJDX","Import Data in the JCAMP-DX Format"
"stormwindmodel","stormwindmodel","Model Tropical Cyclone Wind Speeds"
"analytics","analytics","Regression Outlier Detection and Other Tools for Data Analysis"
"touch","touch","Tools of Utilization and Cost in Healthcare"
"GSED","GSED","Group Sequential Enrichment Design"
"hoardr","hoardr","Manage Cached Files"
"psychmeta","psychmeta","Psychometric Meta-Analysis Toolkit"
"Rnightlights","Rnightlights","Satellite Nightlight Data Extraction"
"treemapify","treemapify","Draw Treemaps in 'ggplot2'"
"bamlss","bamlss","Bayesian Additive Models for Location Scale and Shape (and"
"mMPA","mMPA","Implementation of Marker-Assisted Mini-Pooling with Algorithm"
"mrfDepth","mrfDepth","Depth Measures in Multivariate, Regression and Functional"
"antaresViz","antaresViz","Antares Visualizations"
"BatchGetSymbols","BatchGetSymbols","Downloads and Organizes Financial Data for Multiple Tickers"
"FLightR","FLightR","Hidden Markov Model for Solar Geolocation Archival Tags"
"GetLattesData","GetLattesData","Reading Bibliometric Data from Lattes Platform"
"GROAN","GROAN","Genomic Regression Workbench"
"itunesr","itunesr","Access iTunes App Store Ratings and Reviews using R"
"partialCI","partialCI","Partial Cointegration"
"Rodam","Rodam","Wrapper Functions for 'ODAM' (Open Data for Access and Mining)"
"stacomiR","stacomiR","Fish Migration Monitoring"
"tidyselect","tidyselect","Select from a Set of Strings"
"airGR","airGR","Suite of GR Hydrological Models for Precipitation-Runoff"
"emdi","emdi","Estimating and Mapping Disaggregated Indicators"
"NetworkChange","NetworkChange","Bayesian Package for Network Changepoint Analysis"
"wooldridge","wooldridge","A Modern"
"EFAutilities","EFAutilities","Utility Functions for Exploratory Factor Analysis"
"mindr","mindr","Convert Files Between Markdown or Rmarkdown Files and Mindmaps"
"nucim","nucim","Nucleus Imaging Toolbox"
"billboarder","billboarder","Create Interactive Chart with the JavaScript 'Billboard' Library"
"c212","c212","Methods for Detecting Safety Signals in Clinical Trials Using"
"easyreg","easyreg","Easy Regression"
"psda","psda","Polygonal Symbolic Data Analysis"
"sptemExp","sptemExp","Constrained Spatiotemporal Mixed Models for Exposure Estimation"
"pollen","pollen","Tools for Working with Aerobiological Data"
"ratelimitr","ratelimitr","Rate Limiting for R"
"rmapzen","rmapzen","Client for the 'Mapzen' API"
"wallace","wallace","A Modular Platform for Reproducible Modeling of Species Niches"
"bazar","bazar","Miscellaneous Basic Functions"
"googledrive","googledrive","An Interface to Google Drive"
"pdSpecEst","pdSpecEst","Positive-Definite Wavelet-Based Multivariate Spectral Analysis"
"spmoran","spmoran","Moran's Eigenvector-Based Spatial Regression Models"
"CMatching","CMatching","Matching Algorithms for Causal Inference with Clustered Data"
"comtradr","comtradr","Interface with the United Nations Comtrade API"
"PWFSLSmoke","PWFSLSmoke","Utilities for Working with Air Quality Monitoring Data"
"uiucthemes","uiucthemes","'R' 'Markdown' Themes for 'UIUC' Documents and Presentations"
"auk","auk","eBird Data Extraction with AWK"
"Delta","Delta","Measure of Agreement Between Two Raters"
"partitionComparison","partitionComparison","Implements Measures for the Comparison of Two Partitions"
"rjmcmc","rjmcmc","Reversible-Jump MCMC Using Post-Processing"
"soundgen","soundgen","Parametric Voice Synthesis"
"spatstat.data","spatstat.data","Datasets for 'spatstat'"
"TileManager","TileManager","Tile Manager"
"ClassDiscovery","ClassDiscovery","Classes and Methods for ""Class Discovery"" with Microarrays or"
"dataMaid","dataMaid","A Suite of Checks for Identification of Potential Errors in a"
"mdsOpt","mdsOpt","Searching for Optimal MDS Procedure for Metric Data"
"odr","odr","Optimal Design and Statistical Power of Cost-Efficient"
"PeakSegJoint","PeakSegJoint","Joint Peak Detection in Several ChIP-Seq Samples"
"RcmdrPlugin.RiskDemo","RcmdrPlugin.RiskDemo","R Commander Plug-in for Risk Demonstration"
"vein","vein","Vehicular Emissions Inventories"
"tensorBF","tensorBF","Bayesian Tensor Factorization"
"WeightedROC","WeightedROC","Fast, Weighted ROC Curves"
"carData","carData","Companion to Applied Regression Data Sets"
"loon","loon","Interactive Statistical Data Visualization"
"metaplot","metaplot","Formalized Plots for Self-Describing Data"
"nanotime","nanotime","Nanosecond-Resolution Time for R"
"nonmemica","nonmemica","Create and Evaluate NONMEM Models in a Project Context"
"clustermq","clustermq","Evaluate Function Calls on HPC Schedulers (LSF, SGE, SLURM)"
"fDMA","fDMA","Dynamic Model Averaging and Dynamic Model Selection for"
"LearnGeom","LearnGeom","Learning Plane Geometry"
"shadow","shadow","R Package for Geometric Shade Calculations"
"antaresProcessing","antaresProcessing","Antares Results Processing"
"BETS","BETS","Brazilian Economic Time Series"
"ecm","ecm","Build Error Correction Models"
"scalpel","scalpel","Processes Calcium Imaging Data"
"textreadr","textreadr","Read Text Documents into R"
"ggridges","ggridges","Ridgeline Plots in 'ggplot2'"
"boxcoxmix","boxcoxmix","Response Transformations for Random Effect and Variance"
"seplyr","seplyr","Standard Evaluation Interfaces for Common 'dplyr' Tasks"
"frequencyConnectedness","frequencyConnectedness","Spectral Decomposition of Connectedness Measures"
"grf","grf","Generalized Random Forests (Beta)"
"parallelDist","parallelDist","Parallel Distance Matrix Computation using Multiple Threads"
"revengc","revengc","Reverse Engineering Censored, Decoupled Residential Data for"
"smapr","smapr","Acquisition and Processing of NASA Soil Moisture Active-Passive"
"geex","geex","An API for M-Estimation"
"geojsonR","geojsonR","A GeoJson Processing Toolkit"
"jtools","jtools","Analyzing and Presenting Social Scientific Data"
"sparsepp","sparsepp","'Rcpp' Interface to 'sparsepp'"
"uGMAR","uGMAR","Estimate Univariate Gaussian or Student's t Mixture"
"HEMDAG","HEMDAG","Hierarchical Ensemble Methods for Directed Acyclic Graphs"
"RInno","RInno","A Local Deployment Framework for Shiny Apps"
"datasauRus","datasauRus","Datasets from the Datasaurus Dozen"
"gravity","gravity","A Compilation of Different Estimation Methods for Gravity Models"
"phuse","phuse","Web Application Framework for 'PhUSE' Scripts"
"rcoreoa","rcoreoa","Client for the CORE API"
"ROptSpace","ROptSpace","Matrix Reconstruction from a Few Entries"
"BayLum","BayLum","Chronological Bayesian Models Integrating Optically Stimulated"
"CIAAWconsensus","CIAAWconsensus","Isotope Ratio Meta-Analysis"
"dataCompareR","dataCompareR","Compare Two Data Frames and Summarise the Difference"
"replyr","replyr","Fluid Use of 'dplyr'"
"hetGP","hetGP","Heteroskedastic Gaussian Process Modeling and Design under"
"later","later","Utilities for Delaying Function Execution"
"ReIns","ReIns","Actuarial and Statistical Aspects"""
"gdns","gdns","Tools to Work with Google DNS Over HTTPS API"
"mbir","mbir","Magnitude-Based Inferences"
"aiRthermo","aiRthermo","Atmospheric Thermodynamics and Visualization"
"graphon","graphon","A Collection of Graphon Estimation Methods"
"hIRT","hIRT","Hierarchical Item Response Theory Models"
"reprex","reprex","Prepare Reproducible Example Code for Sharing"
"usmap","usmap","US Maps Including Alaska and Hawaii"
"BLPestimatoR","BLPestimatoR","Performs a BLP Demand Estimation"
"spData","spData","Datasets for Spatial Analysis"
"LabourMarketAreas","LabourMarketAreas","Identification, Tuning, Visualisation and Analysis of Labour"
"mize","mize","Unconstrained Numerical Optimization Algorithms"
"moveVis","moveVis","Movement Data Visualization"
"sgmcmc","sgmcmc","Stochastic Gradient Markov Chain Monte Carlo"
"document","document","Run 'roxygen2' on (Chunks of) Single Code Files"
"EnvCpt","EnvCpt","Detection of Structural Changes in Climate and Environment Time"
"HDtest","HDtest","High Dimensional Hypothesis Testing for Mean Vectors, Covariance"
"knor","knor","Non-Uniform Memory Access ('NUMA') Optimized, Parallel K-Means"
"nse","nse","Numerical Standard Errors Computation in R"
"SimPhe","SimPhe","Tools to Simulate Phenotype(s) with Epistatic Interaction"
"bigstep","bigstep","Stepwise Selection for Large Data Sets"
"bomrang","bomrang","Fetch Australian Government Bureau of Meteorology Data"
"geosapi","geosapi","GeoServer REST API R Interface"
"getCRUCLdata","getCRUCLdata","Download and Use CRU CL2.0 Climatology Data in R"
"ggmosaic","ggmosaic","Mosaic Plots in the 'ggplot2' Framework"
"grec","grec","Classification of Spatial Patterns from Environmental Data"
"merDeriv","merDeriv","Case-Wise and Cluster-Wise Derivatives for Mixed Effects Models"
"odpc","odpc","One-Sided Dynamic Principal Components"
"sjlabelled","sjlabelled","Labelled Data Utility Functions"
"fastnet","fastnet","Large-Scale Social Network Analysis"
"IncDTW","IncDTW","Incremental Calculation of Dynamic Time Warping"
"mixKernel","mixKernel","Omics Data Integration Using Kernel Methods"
"PhylogeneticEM","PhylogeneticEM","Automatic Shift Detection using a Phylogenetic EM"
"prettycode","prettycode","Pretty Print R Code in the Terminal"
"scorecard","scorecard","Credit Risk Scorecard"
"zoocat","zoocat","'zoo' Objects with Column Attributes"
"BIGL","BIGL","Biochemically Intuitive Generalized Loewe Model"
"datasets.load","datasets.load","Interface for Loading Datasets"
"ghibli","ghibli","Studio Ghibli Palette Generator"
"naniar","naniar","Data Structures, Summaries, and Visualisations for Missing Data"
"penaltyLearning","penaltyLearning","Penalty Learning"
"rly","rly","Lex and Yacc"
"udpipe","udpipe","Tokenization, Parts of Speech Tagging, Lemmatization and"
"redR","redR","REgularization by Denoising (RED)"
"reportROC","reportROC","An Easy Way to Report ROC Analysis"
"fitur","fitur","Fit Univariate Distributions"
"ggdmc","ggdmc","Dynamic Model of Choice with Parallel Computation, and C++"
"healthcareai","healthcareai","Tools for Healthcare Machine Learning"
"fastR2","fastR2","Foundations and Applications of Statistics Using R (2nd Edition)"
"gamesGA","gamesGA","Genetic Algorithm for Sequential Symmetric Games"
"iMediate","iMediate","Methods for Mediation Analysis"
"sinew","sinew","Create 'roxygen2' Skeleton with Information from Function Script"
"taxonomizr","taxonomizr","Functions to Work with NCBI Accessions and Taxonomy"
"bayesImageS","bayesImageS","Bayesian Methods for Image Segmentation using a Potts Model"
"intccr","intccr","Semiparametric Regression on Cumulative Incidence Function with"
"lero.lero","lero.lero","Generate 'Lero Lero' Quotes"
"OOBCurve","OOBCurve","Out of Bag Learning Curve"
"PeerPerformance","PeerPerformance","Luck-Corrected Peer Performance Analysis in R"
"RiskPortfolios","RiskPortfolios","Computation of Risk-Based Portfolios"
"covatest","covatest","Tests on Properties of Space-Time Covariance Functions"
"fdANOVA","fdANOVA","Analysis of Variance for Univariate and Multivariate Functional"
"cytometree","cytometree","Automated Cytometry Gating"
"SSLASSO","SSLASSO","The Spike-and-Slab LASSO"
"eDMA","eDMA","Dynamic Model Averaging with Grid Search"
"MCMCvis","MCMCvis","Tools to Visualize, Manipulate, and Summarize MCMC Output"
"tidycensus","tidycensus","Load US Census Boundary and Attribute Data as 'tidyverse' and"
"vpc","vpc","Create Visual Predictive Checks"
"bgsmtr","bgsmtr","Bayesian Group Sparse Multi-Task Regression"
"mclustcomp","mclustcomp","Measures for Comparing Clusters"
"supc","supc","The Self-Updating Process Clustering Algorithms"
"startup","startup","Friendly R Startup Configuration"
"symDMatrix","symDMatrix","Partitioned Symmetric Matrices"
"TeXCheckR","TeXCheckR","Parses LaTeX Documents for Errors"
"tfruns","tfruns","Training Run Tools for 'TensorFlow'"
"adiv","adiv","Analysis of Diversity"
"BGData","BGData","A Suite of Packages for Analysis of Big Genomic Data"
"gsynth","gsynth","Generalized Synthetic Control Method"
"keras","keras","R Interface to 'Keras'"
"perccalc","perccalc","Estimate Percentiles from an Ordered Categorical Variable"
"quickmatch","quickmatch","Quick Generalized Full Matching"
"rtrim","rtrim","Trends and Indices for Monitoring Data"
"scclust","scclust","Size-Constrained Clustering"
"stepPenal","stepPenal","Stepwise Forward Variable Selection in Penalized Regression"
"CINNA","CINNA","Deciphering Central Informative Nodes in Network Analysis"
"manet","manet","Multiple Allocation Model for Actor-Event Networks"
"micemd","micemd","Multiple Imputation by Chained Equations with Multilevel Data"
"sarima","sarima","Simulation and Prediction with Seasonal ARIMA Models"
"BayesNetBP","BayesNetBP","Bayesian Network Belief Propagation"
"BioInstaller","BioInstaller","Lightweight Biology Software Installer"
"collapsibleTree","collapsibleTree","Interactive Collapsible Tree Diagrams using 'D3.js'"
"Eagle","Eagle","Multiple Locus Association Mapping on a Genome-Wide Scale"
"geometa","geometa","Tools for Reading and Writing ISO/OGC Geographic Metadata"
"GMSE","GMSE","Generalised Management Strategy Evaluation Simulator"
"lidR","lidR","Airborne LiDAR Data Manipulation and Visualization for Forestry"
"lmridge","lmridge","Linear Ridge Regression with Ridge Penalty and Ridge Statistics"
"rstantools","rstantools","Tools for Developing R Packages Interfacing with 'Stan'"
"rvinecopulib","rvinecopulib","High Performance Algorithms for Vine Copula Modeling"
"SSBtools","SSBtools","Statistics Norway's Miscellaneous Small Tools"
"TLMoments","TLMoments","Calculate TL-Moments and Convert Them to Distribution Parameters"
"quickblock","quickblock","Quick Threshold Blocking"
"rsolr","rsolr","R to Solr Interface"
"lagged","lagged","Classes and Methods for Lagged Objects"
"RLT","RLT","Reinforcement Learning Trees"
"shinyFeedback","shinyFeedback","Displays User Feedback Next to Shiny Inputs"
"censusapi","censusapi","Retrieve Data from the U.S. Census Bureau APIs"
"dwapi","dwapi","A Client for Data.world's REST API"
"hrbrthemes","hrbrthemes","Additional Themes, Theme Components and Utilities for 'ggplot2'"
"IPEC","IPEC","Root Mean Square Curvature Calculation"
"mockery","mockery","Mocking Library for R"
"sweep","sweep","Tidy Tools for Forecasting"
"timetk","timetk","A Tool Kit for Working with Time Series in R"
"narray","narray","R Package for Handling Arrays in a Consistent Manner"
"AbSim","AbSim","Time Resolved Simulations of Antibody Repertoires"
"bigstatsr","bigstatsr","Statistical Tools for Filebacked Big Matrices"
"DMMF","DMMF","Daily Based Morgan--Morgan--Finney (DMMF) Soil Erosion Model"
"GPrank","GPrank","Gaussian Process Ranking of Multiple Time Series"
"haploR","haploR","Query Haploreg and RegulomeDB"
"optrdd","optrdd","Optimized Regression Discontinuity Designs"
"textutils","textutils","Utilities for Handling Strings and Text"
"batchtools","batchtools","Tools for Computation on Batch Systems"
"castor","castor","Efficient Comparative Phylogenetics on Large Trees"
"datastructures","datastructures","Implementation of Core Data Structures"
"mapedit","mapedit","Interactive Editing of Spatial Data in R"
"openEBGM","openEBGM","EBGM Scores for Mining Large Contingency Tables"
"processx","processx","Execute and Control System Processes"
"BMisc","BMisc","Miscellaneous Functions for Panel Data, Quantiles, and Printing"
"cholera","cholera","Amend, Augment and Aid Analysis of John Snow's Cholera Data"
"civis","civis","R Client for the 'Civis data science API'"
"distances","distances","Tools for Distances and Metrics"
"vetr","vetr","Trust, but Verify"
"LMfilteR","LMfilteR","Filter Methods for Parameter Estimation in Linear Regression"
"powerlmm","powerlmm","Power Calculations for Longitudinal Multilevel Models"
"ProliferativeIndex","ProliferativeIndex","Calculates and Analyzes the Proliferative Index"
"snakecase","snakecase","Convert Strings into any Case"
"EL2Surv","EL2Surv","Empirical Likelihood (EL) for Comparing Two Survival Functions"
"kirby21.base","kirby21.base","Example Data from the Multi-Modal MRI Reproducibility Resource"
"kirby21.fmri","kirby21.fmri","Example Functional Imaging Data from the Multi-Modal MRI"
"kirby21.t1","kirby21.t1","Example T1 Structural Data from the Multi-Modal MRI"
"sequoia","sequoia","Pedigree Inference from SNPs"
"subprocess","subprocess","Manage Sub-Processes in R"
"genBaRcode","genBaRcode","Analysis and Visualization Tools for Genetic Barcode Data"
"libstableR","libstableR","Fast and Accurate Evaluation, Random Number Generation and"
"MCMCprecision","MCMCprecision","Precision of Discrete Parameters in Transdimensional MCMC"
"jcolors","jcolors","Colors Palettes for R and 'ggplot2', Additional Themes for"
"IDmining","IDmining","Intrinsic Dimension for Data Mining"
"PRISMAstatement","PRISMAstatement","Plot Flow Charts According to the ""PRISMA"" Statement"
"taxa","taxa","Taxonomic Classes"
"gridsample","gridsample","Tools for Grid-Based Survey Sampling Design"
"nsROC","nsROC","Non-Standard ROC Curve Analysis"
"roadoi","roadoi","Find Free Versions of Scholarly Publications via the oaDOI"
"tmaptools","tmaptools","Thematic Map Tools"
"coda.base","coda.base","A Basic Set of Functions for Compositional Data Analysis"
"crochet","crochet","Implementation Helper for [ and [<- Of Custom Matrix-Like Types"
"DSAIDE","DSAIDE","Dynamical Systems Approach to Infectious Disease Epidemiology"
